CO_ESCOLA,n_pool_5_notas,media_pool_5,mediana_pool_5,max_pool_5,CO_ENTIDADE,NO_ENTIDADE,NOME_CURTO,DS_ENDERECO,NO_BAIRRO,rank_pool_cidade
21273456,13,705.2384615384616,699.86,825.7,21273456,MAPLE BEAR SAO LUIS,Maple Bear,VALE,RENASCENCA II,1
21009902,64,688.889375,694.61,792.04,21009902,CENTRO EDUCACIONAL MONTESSORIANO REINO INFANTIL,Montessoriano,RUA DOS SAPOTIS,RENASCENA II,2
21290229,178,687.8131460674158,691.4,821.26,21290229,RF ENSINO MEDIO LTDA,RF Ensino Médio,DOS HOLANDESES,CALHAU,3
21199809,135,685.1477037037038,688.12,819.8400000000001,21199809,COLEGIO LITERATO,Literato,MARIO ANDREAZZA,TURU,4
21010331,50,670.1696,677.17,796.7,21010331,COLEGIO DOM BOSCO LTDA,Dom Bosco,CORONEL COLARES MOREIRA,RENASCENÇA,5
21199090,118,668.2266101694916,677.0799999999999,794.72,21199090,COLEGIO EDUCALLIS,Educallis,ANTONIO RAPOSO,CUTIM ANIL,6
21292990,16,657.96,672.9399999999999,724.78,21292990,AUDAZ COLEGIO LTDA,Audaz,RUA MARACACUME,CALHAU,7
21274231,25,653.5976,672.72,747.0200000000001,21274231,D PEDRO II EMPREENDIMENTOS EDUCACIONAIS LTDA,D. Pedro II,EUCLIDES FARIAS,COHAMA,8
21195534,54,641.4618518518519,642.45,771.28,21195534,ESCOLA CRESCIMENTO,Crescimento Ren.,RUA JORNALISTA  AV DO VALE,RENASCENCA,9
21279446,24,640.5158333333334,657.65,815.04,21279446,ESCOLA CRESCIMENTO,Crescimento Calhau,RUA OITO,CALHAU,10
