painel,painel_label,cor,cor_label,co_prova,n_posicoes,itens_validos,anuladas,media_dif_xtri,media_A,Fácil,Médio,Difícil,Muito difícil,Anulada
LC_ING,Linguagens · Inglês,AZUL,Azul,1459,45,45,0,64.43254001244262,2.4692002222222222,12,11,11,11,0
LC_ING,Linguagens · Inglês,AMARELA,Amarela,1460,45,45,0,64.43254001244262,2.4692002222222222,12,11,11,11,0
LC_ING,Linguagens · Inglês,VERDE,Verde,1461,45,45,0,64.43254001244264,2.4692002222222222,12,11,11,11,0
LC_ING,Linguagens · Inglês,BRANCA,Branca,1462,45,45,0,64.43254001244264,2.469200222222222,12,11,11,11,0
LC_ESP,Linguagens · Espanhol,AZUL,Azul,1459,45,45,0,65.52919106917055,2.3516242222222226,11,10,11,13,0
LC_ESP,Linguagens · Espanhol,AMARELA,Amarela,1460,45,45,0,65.52919106917055,2.3516242222222226,11,10,11,13,0
LC_ESP,Linguagens · Espanhol,VERDE,Verde,1461,45,45,0,65.52919106917057,2.351624222222222,11,10,11,13,0
LC_ESP,Linguagens · Espanhol,BRANCA,Branca,1462,45,45,0,65.52919106917057,2.3516242222222217,11,10,11,13,0
CH,Humanas,AZUL,Azul,1447,45,45,0,71.22002552806792,2.2767897777777786,12,11,11,11,0
CH,Humanas,AMARELA,Amarela,1448,45,45,0,71.22002552806794,2.2767897777777777,12,11,11,11,0
CH,Humanas,BRANCA,Branca,1449,45,45,0,71.22002552806794,2.2767897777777777,12,11,11,11,0
CH,Humanas,VERDE,Verde,1450,45,45,0,71.22002552806792,2.276789777777778,12,11,11,11,0
CN,Natureza,AZUL,Azul,1483,45,42,3,71.02880593048482,2.384646428571428,11,10,10,11,3
CN,Natureza,AMARELA,Amarela,1484,45,42,3,71.02880593048481,2.3846464285714286,11,10,10,11,3
CN,Natureza,VERDE,Verde,1485,45,42,3,71.02880593048482,2.3846464285714286,11,10,10,11,3
CN,Natureza,CINZA,Cinza,1486,45,42,3,71.02880593048481,2.384646428571428,11,10,10,11,3
MT,Matemática,AZUL,Azul,1471,45,43,2,74.06516650141288,1.963069534883721,11,11,10,11,2
MT,Matemática,AMARELA,Amarela,1472,45,43,2,74.06516650141288,1.963069534883721,11,11,10,11,2
MT,Matemática,VERDE,Verde,1473,45,43,2,74.06516650141289,1.9630695348837213,11,11,10,11,2
MT,Matemática,CINZA,Cinza,1474,45,43,2,74.06516650141288,1.9630695348837206,11,11,10,11,2
