area,habilidade,co_item,pct_acerto,A,B,C,acertos,total
CH,H24,141340,17.4,1.73204,2.72077,0.1455,586296,3368961
CH,H26,140491,18.81,3.19307,1.3846,0.09892,633720,3368961
CH,H11,95495,19.11,3.08374,1.64736,0.15319,643814,3368961
CH,H13,85827,19.36,1.49039,2.09108,0.13159,652382,3368961
CH,H12,141162,19.99,1.75522,2.19228,0.16031,673372,3368961
CH,H22,141167,22.6,2.19091,1.56736,0.14811,761314,3368961
CH,H27,56368,22.83,1.48674,1.75227,0.12006,769043,3368961
CH,H2,87509,24.67,3.63787,1.15279,0.14648,830955,3368961
CH,H12,111883,25.46,4.66484,2.18392,0.24931,857660,3368961
CH,H1,84812,25.47,2.51773,1.23104,0.13566,858122,3368961
CH,H21,111982,26.05,2.105,1.30323,0.13227,877552,3368961
CH,H10,84849,26.89,4.59882,2.67933,0.2714,905848,3368961
CH,H21,125788,27.03,1.33923,1.58995,0.13226,910485,3368961
CH,H25,140932,29.79,1.9729,1.40956,0.20847,1003606,3368961
CH,H7,140432,29.84,3.02419,2.65234,0.31115,1005198,3368961
CH,H4,149742,31.73,2.12991,1.01053,0.1851,1069101,3368961
CH,H23,140201,31.99,2.24373,1.5186,0.21973,1077711,3368961
CH,H16,95807,32.54,2.64665,1.19196,0.1989,1096239,3368961
CH,H25,111941,33.62,2.26139,1.02325,0.16839,1132770,3368961
CH,H1,88661,34.89,1.09592,1.36918,0.15733,1175545,3368961
CH,H11,56054,34.92,2.42693,0.89696,0.18703,1176437,3368961
CH,H7,141102,34.94,2.30036,1.00184,0.16439,1177125,3368961
CH,H30,118057,35.1,2.52659,0.77,0.12624,1182408,3368961
CH,H29,125735,35.72,1.93462,0.98037,0.16564,1203400,3368961
CH,H4,149787,37.99,1.55351,0.67065,0.0359,1279893,3368961
CH,H9,55300,39.29,1.31187,0.62382,0.05009,1323732,3368961
CH,H17,141078,41.35,2.57535,0.86944,0.17393,1392972,3368961
CH,H19,90024,42.05,2.69381,0.79832,0.22068,1416704,3368961
CH,H18,112144,43.28,1.84717,0.93959,0.21042,1458060,3368961
CH,H6,149824,43.49,3.19948,0.61346,0.2005,1465103,3368961
CH,H23,55581,44.53,1.27011,0.4607,0.01257,1500049,3368961
CH,H22,141135,44.88,0.87966,0.51011,0.00817,1511827,3368961
CH,H19,140594,45.12,1.86385,1.14501,0.26101,1519928,3368961
CH,H14,140451,46.11,1.48185,0.40715,0.0573,1553424,3368961
CH,H3,85913,48.61,2.33002,0.49764,0.18069,1637569,3368961
CH,H20,111927,49.01,2.71693,0.48298,0.15872,1651041,3368961
CH,H8,140428,50.43,2.89147,0.38165,0.19431,1698982,3368961
CH,H28,140518,51.81,2.30961,0.41788,0.15881,1745326,3368961
CH,H23,141009,52.19,0.96638,0.17386,0.02709,1758230,3368961
CH,H24,85670,55.26,0.93648,0.01685,0.00699,1861606,3368961
CH,H27,149784,56.36,3.39468,0.43866,0.21726,1898748,3368961
CH,H5,83900,57.52,2.84871,0.31801,0.21545,1937686,3368961
CH,H28,118062,57.71,2.19388,0.35534,0.2554,1944088,3368961
CH,H15,96978,58.44,3.38036,0.39077,0.295,1968695,3368961
