area,area_label,area_full,co_prova,cor,pos_area,co_posicao,co_item,habilidade,tp_lingua,lingua_label,anulado,motivo_anulacao,gab,pct_acerto,A,B,C,p_modelo_theta0,dif_xtri,total,categoria,categoria_ordem,discriminacao
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,1,1,153875,H7,0.0,ING,False,,D,61.79,3.7284,0.3723,0.1705,0.242081340111296,62.638212892765765,2016194.0,Médio,1,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,1,1,152688,H6,1.0,ESP,False,,B,54.43,1.12528,0.36546,0.2073,0.47048290394537307,50.36811124355075,1352767.0,Fácil,0,A-
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,2,2,118169,H7,0.0,ING,False,,D,64.47,2.94472,0.59928,0.24615,0.2819016517962011,59.11189263324693,2016194.0,Fácil,0,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,2,2,153945,H8,1.0,ESP,False,,A,24.86,1.8208,1.32304,0.19745,0.21059439160112878,77.61036454592663,1352767.0,Muito difícil,3,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,3,3,153836,H6,0.0,ING,False,,D,58.62,2.38626,0.67668,0.18733,0.2363883700003362,64.11775594997815,2016194.0,Médio,1,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,3,3,140709,H7,1.0,ESP,False,,D,32.85,2.7718,0.94236,0.20053,0.20984634666247048,74.86248746693943,1352767.0,Difícil,2,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,4,4,112036,H5,0.0,ING,False,,E,51.62,4.90205,0.71195,0.17497,0.17715092294538043,70.41819000855027,2016194.0,Difícil,2,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,4,4,154015,H8,1.0,ESP,False,,D,15.05,2.90355,1.66292,0.12537,0.125608186154945,86.56796789992858,1352767.0,Muito difícil,3,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,5,5,153930,H6,0.0,ING,False,,A,71.8,2.28024,0.18554,0.19951,0.4617207795334859,44.85814933032342,2016194.0,Fácil,0,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,5,5,153833,H5,1.0,ESP,False,,C,52.0,2.32932,0.44342,0.201,0.3186989659803626,61.08456721127643,1352767.0,Médio,1,A
