area;pos;tot600;ac600;tot700;ac700
CH;1;52075;28406;6861;6009
CH;2;52075;27931;6861;5619
CH;3;52075;21104;6861;6347
CH;4;52075;32839;6861;6062
CH;5;52075;9098;6861;2939
CH;6;52075;42693;6861;6758
CH;7;52075;21511;6861;5277
CH;8;52075;25895;6861;5862
CH;9;52075;45539;6861;6800
CH;10;52075;23385;6861;6263
CH;11;52075;46304;6861;6817
CH;12;52075;38390;6861;6382
CH;13;52075;31250;6861;5735
CH;14;52075;13182;6861;5879
CH;15;52075;21145;6861;5351
CH;16;52075;36477;6861;5500
CH;17;52075;32926;6861;5079
CH;18;52075;31453;6861;6201
CH;19;52075;12418;6861;3025
CH;20;52075;35144;6861;6008
CH;21;52075;8734;6861;2193
CH;22;52075;12086;6861;2193
CH;23;52075;41083;6861;6757
CH;24;52075;23806;6861;4580
CH;25;52075;17254;6861;3739
CH;26;52075;45776;6861;6800
CH;27;52075;19523;6861;5863
CH;28;52075;46410;6861;6838
CH;29;52075;9556;6861;5077
CH;30;52075;34149;6861;6576
CH;31;52075;14798;6861;4799
CH;32;52075;43932;6861;6623
CH;33;52075;31794;6861;6473
CH;34;52075;13235;6861;3507
CH;35;52075;34992;6861;6525
CH;36;52075;22011;6861;4474
CH;37;52075;35352;6861;5685
CH;38;52075;19326;6861;4003
CH;39;52075;42803;6861;6613
CH;40;52075;37294;6861;5920
CH;41;52075;31206;6861;6576
CH;42;52075;26978;6861;5853
CH;43;52075;38362;6861;6648
CH;44;52075;33523;6861;5871
CH;45;52075;12112;6861;2521
LC;6;70255;53125;3236;3150
LC;7;70255;47721;3236;3029
LC;8;70255;31625;3236;2547
LC;9;70255;38261;3236;3167
LC;10;70255;38443;3236;3198
LC;11;70255;36508;3236;2303
LC;12;70255;57819;3236;3186
LC;13;70255;48383;3236;3226
LC;14;70255;47209;3236;2424
LC;15;70255;44121;3236;3011
LC;16;70255;43745;3236;2714
LC;17;70255;30190;3236;2091
LC;18;70255;66862;3236;3222
LC;19;70255;64609;3236;3182
LC;20;70255;53892;3236;3104
LC;21;70255;43523;3236;3051
LC;22;70255;63674;3236;3222
LC;23;70255;36670;3236;2899
LC;24;70255;51634;3236;3038
LC;25;70255;37423;3236;2985
LC;26;70255;69506;3236;3236
LC;27;70255;65136;3236;3216
LC;28;70255;43910;3236;2574
LC;29;70255;37370;3236;2737
LC;30;70255;17583;3236;2228
LC;31;70255;43210;3236;2147
LC;32;70255;9963;3236;2940
LC;33;70255;58415;3236;3158
LC;34;70255;35256;3236;2687
LC;35;70255;36951;3236;2579
LC;36;70255;39413;3236;3181
LC;37;70255;45213;3236;3198
LC;38;70255;42215;3236;3223
LC;39;70255;61715;3236;3226
LC;40;70255;32694;3236;2254
LC;41;70255;39067;3236;2623
LC;42;70255;50667;3236;3097
LC;43;70255;40377;3236;2397
LC;44;70255;54806;3236;3199
LC;45;70255;54992;3236;3167
MT;1;32417;19945;19384;16672
MT;2;32417;3008;19384;7586
MT;3;32417;9183;19384;11244
MT;4;32417;13529;19384;9314
MT;5;32417;1456;19384;756
MT;6;32417;13758;19384;11170
MT;7;32417;18395;19384;14877
MT;8;32417;21195;19384;14925
MT;9;32417;6244;19384;4612
MT;10;32417;27255;19384;17875
MT;11;32417;23596;19384;16183
MT;12;32417;19652;19384;17828
MT;13;32417;15253;19384;16277
MT;14;32417;6655;19384;6464
MT;15;32417;13922;19384;14102
MT;16;32417;28582;19384;18443
MT;17;32417;7909;19384;8267
MT;18;32417;4950;19384;4831
MT;19;32417;17055;19384;15285
MT;20;32417;9634;19384;8243
MT;21;32417;10316;19384;13116
MT;22;32417;13837;19384;16205
MT;23;32417;10482;19384;10909
MT;24;32417;18351;19384;13486
MT;25;32417;5346;19384;3286
MT;26;32417;13296;19384;13117
MT;27;32417;7415;19384;6173
MT;28;32417;26606;19384;17895
MT;29;32417;12265;19384;10360
MT;30;32417;10751;19384;10003
MT;31;32417;5658;19384;10545
MT;32;32417;8065;19384;9129
MT;33;32417;25877;19384;17422
MT;34;32417;4287;19384;5818
MT;35;32417;10090;19384;8666
MT;36;32417;2131;19384;2627
MT;37;32417;3540;19384;2136
MT;38;32417;6501;19384;6786
MT;40;32417;4468;19384;3073
MT;41;32417;17447;19384;15264
MT;42;32417;9447;19384;6441
MT;43;32417;3909;19384;4051
MT;44;32417;20669;19384;16308
MT;45;32417;4174;19384;4569
CN;1;33462;23624;4473;4088
CN;2;33462;29214;4473;4351
CN;3;33462;19868;4473;4030
CN;4;33462;10779;4473;2948
CN;5;33462;26739;4473;4393
CN;6;33462;30043;4473;4085
CN;7;33462;27072;4473;4349
CN;8;33462;32260;4473;4456
CN;9;33462;26613;4473;4183
CN;10;33462;26931;4473;3904
CN;11;33462;23273;4473;3881
CN;12;33462;24275;4473;3177
CN;13;33462;14613;4473;2224
CN;14;33462;30041;4473;4395
CN;15;33462;17105;4473;4031
CN;16;33462;18665;4473;4194
CN;17;33462;23222;4473;3922
CN;18;33462;4096;4473;1817
CN;19;33462;17990;4473;3869
CN;20;33462;15954;4473;4259
CN;21;33462;9235;4473;3535
CN;22;33462;14204;4473;4159
CN;23;33462;3856;4473;2190
CN;24;33462;23695;4473;4073
CN;25;33462;14708;4473;2945
CN;26;33462;14764;4473;3467
CN;27;33462;8394;4473;2276
CN;28;33462;10497;4473;2790
CN;29;33462;11033;4473;1646
CN;30;33462;9648;4473;1201
CN;31;33462;4272;4473;1872
CN;32;33462;11514;4473;3584
CN;34;33462;7758;4473;2082
CN;35;33462;8832;4473;819
CN;36;33462;9854;4473;2691
CN;37;33462;12486;4473;4394
CN;38;33462;25273;4473;4144
CN;39;33462;21783;4473;3958
CN;40;33462;9102;4473;2597
CN;41;33462;2623;4473;1881
CN;43;33462;8179;4473;2428
CN;44;33462;15299;4473;4193
CN;45;33462;6847;4473;3054
