escola,area,habilidade,erro_pct,n_resp,erro_nacional
CEI Romualdo,CH,H1,53.2,278,69.8
CEI Romualdo,CH,H10,84.9,139,73.1
CEI Romualdo,CH,H11,37.1,278,73.0
CEI Romualdo,CH,H12,77.0,278,77.3
CEI Romualdo,CH,H13,75.5,139,80.6
CEI Romualdo,CH,H14,28.1,139,53.9
CEI Romualdo,CH,H15,7.2,139,41.6
CEI Romualdo,CH,H16,31.7,139,67.5
CEI Romualdo,CH,H17,33.1,139,58.6
CEI Romualdo,CH,H18,38.1,139,56.7
CEI Romualdo,CH,H19,23.7,278,56.4
CEI Romualdo,CH,H2,53.2,139,75.3
CEI Romualdo,CH,H20,16.5,139,51.0
CEI Romualdo,CH,H21,51.4,278,73.5
CEI Romualdo,CH,H22,54.7,278,66.3
CEI Romualdo,CH,H23,36.2,417,57.1
CEI Romualdo,CH,H24,51.4,278,63.7
CEI Romualdo,CH,H25,34.5,278,68.3
CEI Romualdo,CH,H26,36.7,278,60.5
CEI Romualdo,CH,H27,27.7,278,60.4
CEI Romualdo,CH,H28,15.5,278,45.2
CEI Romualdo,CH,H29,28.8,139,64.3
CEI Romualdo,CH,H3,23.0,139,51.4
CEI Romualdo,CH,H30,25.2,139,64.9
CEI Romualdo,CH,H4,28.4,278,65.1
CEI Romualdo,CH,H5,17.3,139,42.5
CEI Romualdo,CH,H6,14.4,139,56.5
CEI Romualdo,CH,H7,42.8,278,67.6
CEI Romualdo,CH,H8,16.5,139,49.6
CEI Romualdo,CH,H9,23.7,139,60.7
CEI Romualdo,CN,H1,46.0,278,70.4
CEI Romualdo,CN,H10,11.5,139,28.6
CEI Romualdo,CN,H11,23.7,139,61.2
CEI Romualdo,CN,H12,38.6,140,69.1
CEI Romualdo,CN,H13,26.6,139,56.2
CEI Romualdo,CN,H14,57.6,139,69.8
CEI Romualdo,CN,H15,38.8,139,53.4
CEI Romualdo,CN,H16,14.4,139,32.9
CEI Romualdo,CN,H17,42.8,278,67.5
CEI Romualdo,CN,H18,55.4,139,74.9
CEI Romualdo,CN,H19,19.4,139,80.0
CEI Romualdo,CN,H2,55.4,139,68.3
CEI Romualdo,CN,H20,53.6,278,82.9
CEI Romualdo,CN,H21,42.1,278,60.6
CEI Romualdo,CN,H22,30.6,278,59.9
CEI Romualdo,CN,H23,37.1,278,71.8
CEI Romualdo,CN,H24,54.2,277,73.4
CEI Romualdo,CN,H25,26.6,139,40.1
CEI Romualdo,CN,H26,75.5,139,88.2
CEI Romualdo,CN,H27,30.2,139,65.2
CEI Romualdo,CN,H28,26.9,417,63.6
CEI Romualdo,CN,H29,16.5,139,52.7
CEI Romualdo,CN,H3,50.0,278,75.8
CEI Romualdo,CN,H30,48.9,139,43.9
CEI Romualdo,CN,H4,21.6,139,37.4
CEI Romualdo,CN,H5,54.0,278,79.5
CEI Romualdo,CN,H6,74.8,139,71.1
CEI Romualdo,CN,H7,57.9,278,77.3
CEI Romualdo,CN,H8,30.9,139,73.4
CEI Romualdo,CN,H9,55.4,139,83.4
CEI Romualdo,LC,H1,32.4,139,53.5
CEI Romualdo,LC,H10,2.2,139,21.9
CEI Romualdo,LC,H11,10.1,139,35.6
CEI Romualdo,LC,H12,19.8,278,48.5
CEI Romualdo,LC,H13,18.7,139,51.8
CEI Romualdo,LC,H14,26.6,139,68.4
CEI Romualdo,LC,H15,33.1,278,57.5
CEI Romualdo,LC,H16,46.8,278,57.9
CEI Romualdo,LC,H17,38.8,278,61.5
CEI Romualdo,LC,H18,41.0,278,68.0
CEI Romualdo,LC,H19,43.9,139,63.9
CEI Romualdo,LC,H2,19.1,278,40.6
CEI Romualdo,LC,H20,39.9,278,65.8
CEI Romualdo,LC,H21,38.1,139,45.7
CEI Romualdo,LC,H22,30.6,278,60.7
CEI Romualdo,LC,H23,43.2,139,52.8
CEI Romualdo,LC,H24,25.9,278,53.5
CEI Romualdo,LC,H25,30.9,139,55.9
CEI Romualdo,LC,H26,15.5,278,38.3
CEI Romualdo,LC,H27,20.1,139,66.6
CEI Romualdo,LC,H28,41.7,139,45.0
CEI Romualdo,LC,H29,62.6,278,78.3
CEI Romualdo,LC,H3,33.8,139,56.1
CEI Romualdo,LC,H30,25.9,278,53.7
