area,pos_area,habilidade,aban,a,b,DIF_TRI,acerto_esperado_θ0,tier,categoria
CH,1,H1,,1.253,0.639,54,46,A-,Médio
CH,2,H10,,2.105,0.423,57,43,A,Médio
CH,3,H12,,2.207,0.638,67,33,A,Difícil
CH,4,H23,,1.657,1.487,78,22,A,Muito difícil
CH,5,H8,,2.662,0.082,45,55,A+,Fácil
CH,6,H27,,2.279,0.421,59,41,A,Médio
CH,7,H24,,1.626,2.766,79,21,A,Muito difícil
CH,8,H25,,2.525,0.944,77,23,A+,Muito difícil
CH,9,H21,,1.501,0.443,53,47,A,Médio
CH,10,H10,,1.318,-0.057,38,62,A-,Fácil
CH,11,H18,,2.711,0.459,64,36,A+,Médio
CH,12,H22,,2.466,1.419,74,26,A,Difícil
CH,13,H29,,2.225,0.810,71,29,A,Difícil
CH,14,H10,,1.644,-0.002,40,60,A,Fácil
CH,15,H13,,3.173,0.060,44,56,A+,Fácil
CH,16,H9,,2.522,0.827,69,31,A+,Difícil
CH,17,H29,SIM,,,,,,
CH,18,H13,,1.484,0.972,66,34,A,Médio
CH,19,H26,,0.908,1.092,57,43,A-,Médio
CH,20,H11,,2.183,1.421,80,20,A,Muito difícil
CH,21,H15,,2.730,0.709,72,28,A+,Difícil
CH,22,H23,,1.802,0.072,44,56,A,Fácil
CH,23,H15,,2.278,2.482,72,28,A,Difícil
CH,24,H23,,1.260,1.179,66,34,A-,Difícil
CH,25,H17,,2.081,0.941,82,18,A,Muito difícil
CH,26,H3,,2.026,-0.343,27,73,A,Fácil
CH,27,H14,,1.600,1.170,67,33,A,Difícil
CH,28,H14,,1.601,1.862,66,34,A,Difícil
CH,29,H15,,1.547,0.766,62,38,A,Médio
CH,30,H7,,1.319,-0.207,35,65,A-,Fácil
CH,31,H29,,1.330,1.171,56,44,A-,Médio
CH,32,H28,,2.033,0.219,48,52,A,Médio
CH,33,H16,,2.660,1.413,79,21,A+,Muito difícil
CH,34,H26,,0.656,0.010,39,61,A-,Fácil
