area,co_item,A,B,C,baker
LC,153930,2.28024,0.18554,0.19951,muito alta
LC,153945,1.8208,1.32304,0.19745,muito alta
LC,118169,2.94472,0.59928,0.24615,muito alta
LC,140709,2.7718,0.94236,0.20053,muito alta
LC,152688,1.12528,0.36546,0.2073,moderada
LC,153836,2.38626,0.67668,0.18733,muito alta
LC,153875,3.7284,0.3723,0.1705,muito alta
LC,112036,4.90205,0.71195,0.17497,muito alta
LC,153833,2.32932,0.44342,0.201,muito alta
LC,154015,2.90355,1.66292,0.12537,muito alta
LC,157750,2.05162,0.89837,0.20823,muito alta
LC,157751,2.91253,0.48859,0.10089,muito alta
LC,157775,3.6719,1.0849,0.13842,muito alta
LC,157781,3.44333,1.03742,0.13709,muito alta
LC,157779,1.74082,1.23944,0.11882,muito alta
LC,150674,2.05176,0.63313,0.21138,muito alta
LC,150940,1.17106,0.92453,0.04846,moderada
LC,153556,2.03689,0.74331,0.21068,muito alta
LC,154020,2.44218,-0.02849,0.19639,muito alta
LC,150643,2.25962,0.86097,0.1859,muito alta
LC,157571,2.29926,0.1859,0.18515,muito alta
LC,157615,1.64072,0.95986,0.19106,alta
LC,157619,1.82096,-0.29844,0.19586,muito alta
LC,157665,1.03891,0.31916,0.00705,moderada
LC,153392,2.2343,0.80331,0.16272,muito alta
LC,157598,1.56827,1.94895,0.23722,alta
LC,150612,2.21653,0.6224,0.19711,muito alta
LC,153400,4.6087,0.80546,0.10579,muito alta
LC,158757,2.96488,0.28395,0.14322,muito alta
LC,158716,2.29277,1.01273,0.0931,muito alta
LC,120341,1.57743,0.96321,0.09612,alta
LC,153420,2.37816,1.72434,0.14733,muito alta
LC,150642,1.26109,1.31039,0.27904,moderada
LC,153419,0.67096,0.11449,0.00825,moderada
LC,44047,2.89699,-0.59642,0.02425,muito alta
LC,140908,4.01735,1.50486,0.06311,muito alta
LC,153681,3.6449,1.00902,0.2065,muito alta
LC,118196,2.40377,-0.0414,0.08365,muito alta
LC,140845,2.09447,0.20656,0.13133,muito alta
LC,150505,1.2319,0.54082,0.1049,moderada
LC,150761,2.23464,1.07057,0.13133,muito alta
LC,43532,4.75417,0.97598,0.1838,muito alta
LC,66526,2.68424,0.7301,0.15132,muito alta
LC,150607,1.60463,1.535,0.21298,alta
LC,152784,2.93851,0.36901,0.18829,muito alta
LC,153550,1.56252,0.97856,0.22899,alta
LC,157593,1.17057,0.6619,0.00779,moderada
LC,17166,3.22461,0.66444,0.25447,muito alta
LC,97881,3.43242,0.90425,0.28122,muito alta
LC,120714,2.622,0.59532,0.25859,muito alta
CH,140201,2.24373,1.5186,0.21973,muito alta
CH,140428,2.89147,0.38165,0.19431,muito alta
CH,140491,3.19307,1.3846,0.09892,muito alta
CH,85670,0.93648,0.01685,0.00699,moderada
CH,95807,2.64665,1.19196,0.1989,muito alta
CH,149742,2.12991,1.01053,0.1851,muito alta
CH,112144,1.84717,0.93959,0.21042,muito alta
CH,149784,3.39468,0.43866,0.21726,muito alta
CH,111883,4.66484,2.18392,0.24931,muito alta
CH,111982,2.105,1.30323,0.13227,muito alta
CH,140583,1.45157,0.32702,0.25689,alta
CH,125735,1.93462,0.98037,0.16564,muito alta
