escola,area,categoria,acerto_pct,n_resp,acerto_nacional
Dom Bosco,CH,Difícil,50.4,561,33.1
Dom Bosco,CH,Fácil,70.6,612,53.3
Dom Bosco,CH,Muito difícil,41.0,561,22.1
Dom Bosco,CH,Médio,56.9,561,40.0
Dom Bosco,CN,Difícil,39.6,500,26.1
Dom Bosco,CN,Fácil,67.8,550,56.4
Dom Bosco,CN,Muito difícil,27.5,550,16.9
Dom Bosco,CN,Médio,52.8,500,35.4
Dom Bosco,LC,Difícil,57.8,561,41.9
Dom Bosco,LC,Fácil,83.1,604,66.8
Dom Bosco,LC,Muito difícil,51.3,577,29.9
Dom Bosco,LC,Médio,70.2,553,50.5
Dom Bosco,MT,Difícil,58.0,500,28.2
Dom Bosco,MT,Fácil,80.5,550,49.7
Dom Bosco,MT,Muito difícil,36.5,550,17.3
Dom Bosco,MT,Médio,66.2,550,34.9
