escola,area,habilidade,erro_pct,n_resp,erro_nacional
Dom Bosco,CH,H1,44.1,102,69.8
Dom Bosco,CH,H10,70.6,51,73.1
Dom Bosco,CH,H11,54.9,102,73.0
Dom Bosco,CH,H12,75.5,102,77.3
Dom Bosco,CH,H13,68.6,51,80.6
Dom Bosco,CH,H14,41.2,51,53.9
Dom Bosco,CH,H15,17.6,51,41.6
Dom Bosco,CH,H16,45.1,51,67.5
Dom Bosco,CH,H17,39.2,51,58.6
Dom Bosco,CH,H18,41.2,51,56.7
Dom Bosco,CH,H19,34.3,102,56.4
Dom Bosco,CH,H2,51.0,51,75.3
Dom Bosco,CH,H20,31.4,51,51.0
Dom Bosco,CH,H21,53.9,102,73.5
Dom Bosco,CH,H22,46.1,102,66.3
Dom Bosco,CH,H23,41.2,153,57.1
Dom Bosco,CH,H24,50.0,102,63.7
Dom Bosco,CH,H25,44.1,102,68.3
Dom Bosco,CH,H26,52.9,102,60.5
Dom Bosco,CH,H27,41.2,102,60.4
Dom Bosco,CH,H28,28.4,102,45.2
Dom Bosco,CH,H29,52.9,51,64.3
Dom Bosco,CH,H3,29.4,51,51.4
Dom Bosco,CH,H30,31.4,51,64.9
Dom Bosco,CH,H4,50.0,102,65.1
Dom Bosco,CH,H5,25.5,51,42.5
Dom Bosco,CH,H6,23.5,51,56.5
Dom Bosco,CH,H7,62.7,102,67.6
Dom Bosco,CH,H8,19.6,51,49.6
Dom Bosco,CH,H9,33.3,51,60.7
Dom Bosco,CN,H1,44.0,100,70.4
Dom Bosco,CN,H10,12.0,50,28.6
Dom Bosco,CN,H11,26.0,50,61.2
Dom Bosco,CN,H12,46.0,50,69.1
Dom Bosco,CN,H13,50.0,50,56.2
Dom Bosco,CN,H14,56.0,50,69.8
Dom Bosco,CN,H15,54.0,50,53.4
Dom Bosco,CN,H16,18.0,50,32.9
Dom Bosco,CN,H17,55.0,100,67.5
Dom Bosco,CN,H18,64.0,50,74.9
Dom Bosco,CN,H19,48.0,50,80.0
Dom Bosco,CN,H2,70.0,50,68.3
