area,co_item,habilidade,lingua,A,B,C,acertos_cop30,respostas_cop30,pct_acerto_cop30
CH,152699,H22,,2.63136,2.09992,0.21994,15691,66340,23.65
CH,141055,H28,,2.44103,1.09655,0.12483,19162,66340,28.88
CH,97839,H1,,1.97319,1.86863,0.12882,11951,66340,18.01
CH,125874,H17,,2.81454,1.35625,0.18766,16088,66340,24.25
CH,140220,H3,,2.32774,0.6304,0.19813,23525,66340,35.46
CH,140800,H8,,1.08875,1.44477,0.21682,21559,66340,32.5
CH,125802,H2,,3.84407,0.17934,0.18899,37422,66340,56.41
CH,111855,H18,,3.0731,0.74537,0.17341,26272,66340,39.6
CH,140651,H3,,3.45768,1.26163,0.22242,27844,66340,41.97
CH,125919,H21,,2.32406,0.54178,0.19257,28691,66340,43.25
CH,111849,H5,,2.51946,1.19683,0.18051,16431,66340,24.77
CH,81812,H23,,2.0773,2.73683,0.14422,11364,66340,17.13
CH,140742,H30,,2.86672,0.64329,0.2133,31538,66340,47.54
CH,118136,H16,,1.83478,0.82979,0.18662,20725,66340,31.24
CH,125810,H30,,1.39132,0.03303,0.20261,40935,66340,61.7
CH,140781,H13,,2.38688,0.13793,0.19923,38559,66340,58.12
CH,141077,H16,,2.0863,1.09423,0.21271,22898,66340,34.52
CH,49056,H7,,1.92098,2.02086,0.21408,16589,66340,25.01
CH,125726,H9,,1.64097,-0.02621,0.1877,37109,66340,55.94
CH,149796,H26,,2.44219,0.5387,0.19879,28021,66340,42.24
CH,141054,H11,,3.14285,0.59797,0.2077,23647,66340,35.65
CH,149812,H19,,2.14888,1.69593,0.08819,9341,66340,14.08
CH,140530,H15,,2.16185,0.85227,0.16748,23317,66340,35.15
CH,141063,H23,,1.80143,0.76848,0.18999,26187,66340,39.47
CH,111928,H25,,1.52511,1.52129,0.1766,19889,66340,29.98
CH,141309,H14,,2.02794,0.35951,0.20225,29672,66340,44.73
CH,149797,H26,,1.81109,0.20361,0.19028,40336,66340,60.8
CH,89619,H27,,1.49676,1.18704,0.2233,17019,66340,25.65
CH,96637,H2,,1.45054,1.26774,0.25824,30674,66340,46.24
CH,118017,H28,,1.5713,0.42898,0.21913,35423,66340,53.4
CH,95761,H7,,2.64326,0.921,0.156,23874,66340,35.99
CH,140537,H3,,3.31584,1.66641,0.13027,17315,66340,26.1
CH,149864,H6,,2.56219,0.32826,0.18735,40099,66340,60.44
CH,125755,H12,,1.28327,0.37739,0.22573,30115,66340,45.39
CH,149818,H3,,3.0053,1.56137,0.16716,14970,66340,22.57
CH,141344,H28,,1.89291,0.40543,0.1913,29456,66340,44.4
CH,49029,H24,,2.10682,0.40733,0.19245,30901,66340,46.58
CH,89670,H11,,3.79063,0.48844,0.18077,29337,66340,44.22
CH,84835,H7,,1.92619,1.49592,0.21933,18164,66340,27.38
CH,140421,H20,,2.42157,0.59275,0.18939,23229,66340,35.02
CH,111818,H4,,2.54398,1.7403,0.06888,10463,66340,15.77
