POSICAO,NO_ENTIDADE,NO_MUNICIPIO,DEP,N_ALUNOS,MEDIA_5,CN,CH,LC,MT,REDACAO,CO_ESCOLA
1,COLEGIO EQUIPE LTDA,Belém,4.0,38,760.2,704.0,679.5,658.8,843.1,915.3,15167275
2,COLEGIO INTEGRADO IN,Belém,4.0,26,747.5,675.7,681.7,647.1,834.5,898.5,15181081
3,PHYSICS COLEGIO E CURSO,Belém,4.0,34,741.7,680.4,685.7,660.2,807.9,874.1,15172287
4,COLEGIO EQUIPE CRISTAL,Belém,4.0,56,687.0,624.8,620.7,610.3,715.7,863.6,15168344
5,COLEGIO MILITAR DE BELEM,Belém,1.0,82,668.9,605.4,616.4,613.2,717.2,792.4,15167216
6,COL STA CATARINA DE SENA,Belém,4.0,89,662.4,587.6,625.1,603.6,657.8,837.8,15038491
7,COLEGIO MARISTA NOSSA SENHORA DE NAZARE,Belém,4.0,114,661.2,592.3,613.9,599.4,669.7,830.9,15038424
8,COLEGIO EQUIPE GENTIL,Belém,4.0,118,657.9,596.8,602.2,591.2,666.1,833.2,15229408
9,COLEGIO CEI,Belém,4.0,34,657.5,588.5,608.8,592.0,642.8,855.3,15567672
10,COLEGIO INTEGRADO BELEM LTDA,Belém,4.0,61,643.9,568.1,606.3,590.3,637.4,817.7,15174476
11,COLEGIO SAO PAULO,Belém,4.0,62,641.2,564.9,605.7,583.6,629.6,822.3,15038483
12,COLEGIO EQUIPE MARCO,Belém,4.0,46,638.4,584.6,583.1,592.0,628.2,804.3,15180956
13,COLEGIO TENENTE REGO BARROS,Belém,1.0,89,636.9,581.1,588.1,570.0,641.6,803.8,15039153
14,CENTRO DE ESTUDOS JOHN KNOX,Belém,4.0,47,633.1,574.5,586.3,570.2,636.7,797.9,15567770
15,COLEGIO IDEAL BATISTA CAMPOS,Belém,4.0,194,624.6,571.9,580.0,578.1,628.9,764.3,15181456
16,CENTRO DE SERVICOS EDUCACIONAIS DO PARA,Belém,4.0,39,618.6,566.7,576.0,571.1,607.1,772.3,15037622
