POSICAO,NO_ENTIDADE,NO_MUNICIPIO,DEP,N_ALUNOS,MEDIA_5,CN,CH,LC,MT,REDACAO,CO_ESCOLA
1,COLEGIO EQUIPE LTDA,Belém,4.0,38,760.2,704.0,679.5,658.8,843.1,915.3,15167275
2,COLEGIO INTEGRADO IN,Belém,4.0,26,747.5,675.7,681.7,647.1,834.5,898.5,15181081
3,PHYSICS COLEGIO E CURSO,Belém,4.0,34,741.7,680.4,685.7,660.2,807.9,874.1,15172287
4,GRUPO FUTURO EDUCACIONAL MARABA,Marabá,4.0,13,708.6,629.3,642.1,620.3,743.7,907.7,15103080
5,COLEGIO EQUIPE CRISTAL,Belém,4.0,56,687.0,624.8,620.7,610.3,715.7,863.6,15168344
6,ESCOLA DE EDUCACAO BASICA CENTRO EDUCACIONAL ANCHIETA,Itaituba,4.0,26,683.4,595.5,624.5,603.4,696.8,896.9,15152120
7,COLEGIO MILITAR DE BELEM,Belém,1.0,82,668.9,605.4,616.4,613.2,717.2,792.4,15167216
8,COL STA CATARINA DE SENA,Belém,4.0,89,662.4,587.6,625.1,603.6,657.8,837.8,15038491
9,SOC DE EDUC INTEG HUMANA DO BRASIL,Santarém,4.0,30,662.4,583.6,600.2,611.9,660.4,856.0,15528715
10,COLEGIO MARISTA NOSSA SENHORA DE NAZARE,Belém,4.0,114,661.2,592.3,613.9,599.4,669.7,830.9,15038424
11,CENTRO EDUCACIONAL ESCREVA COM LTDA,Marabá,4.0,65,658.7,588.4,592.8,590.4,661.1,860.6,15172201
12,COLEGIO EQUIPE GENTIL,Belém,4.0,118,657.9,596.8,602.2,591.2,666.1,833.2,15229408
13,COLEGIO CEI,Belém,4.0,34,657.5,588.5,608.8,592.0,642.8,855.3,15567672
14,COLEGIO DOM AMANDO,Santarém,4.0,85,653.0,590.5,591.9,600.6,651.8,830.1,15011070
15,E PART E I F M INST NSRA DOS ANJOS,Abaetetuba,4.0,35,651.8,587.2,575.4,579.4,651.9,865.1,15066886
