escola,area,categoria,acerto_pct,n_resp,acerto_nacional
Marista Natal,CH,Difícil,60.0,1881,33.1
Marista Natal,CH,Fácil,79.5,2052,53.3
Marista Natal,CH,Muito difícil,46.8,1881,22.1
Marista Natal,CH,Médio,61.9,1881,40.0
Marista Natal,CN,Difícil,51.5,1710,26.1
Marista Natal,CN,Fácil,77.5,1881,56.4
Marista Natal,CN,Muito difícil,34.0,1881,16.9
Marista Natal,CN,Médio,57.5,1710,35.4
Marista Natal,LC,Difícil,68.6,1881,41.9
Marista Natal,LC,Fácil,87.4,2048,66.8
Marista Natal,LC,Muito difícil,54.9,1889,29.9
Marista Natal,LC,Médio,75.3,1877,50.5
Marista Natal,MT,Difícil,60.1,1710,28.2
Marista Natal,MT,Fácil,84.5,1881,49.7
Marista Natal,MT,Muito difícil,44.3,1881,17.3
Marista Natal,MT,Médio,69.5,1881,34.9
