escola,area,faixa_disc,acerto_pct,n_resp,acerto_nacional
Marista Natal,CH,"alta (1,35–1,69)",64.6,855,37.3
Marista Natal,CH,"baixa/moderada (A<1,35)",60.1,1197,42.6
Marista Natal,CH,"muito alta (A≥1,70)",62.6,5643,36.4
Marista Natal,CN,"alta (1,35–1,69)",60.2,684,46.2
Marista Natal,CN,"baixa/moderada (A<1,35)",60.1,1197,45.1
Marista Natal,CN,"muito alta (A≥1,70)",53.4,5301,29.7
Marista Natal,LC,"alta (1,35–1,69)",57.9,855,37.3
Marista Natal,LC,"baixa/moderada (A<1,35)",58.7,1030,48.5
Marista Natal,LC,"muito alta (A≥1,70)",76.3,5810,48.4
Marista Natal,MT,"alta (1,35–1,69)",84.3,1710,46.1
Marista Natal,MT,"baixa/moderada (A<1,35)",57.9,1197,34.7
Marista Natal,MT,"muito alta (A≥1,70)",59.0,4446,26.8
