POSICAO,NO_ENTIDADE,NO_MUNICIPIO,SG_UF,N_ALUNOS,MEDIA_5,CN,CH,LC,MT,REDACAO,CO_ESCOLA
1,COLEGIO MARISTA DOM SILVERIO,Belo Horizonte,MG,98,703.1,631.1,639.5,630.3,761.7,853.1,31006394
2,COLEGIO MARISTA DE NATAL,Natal,RN,171,697.0,619.7,629.7,623.0,745.3,867.3,24057134
3,MARISTA COLEGIO DE RIBEIRAO PRETO,Ribeirão Preto,SP,68,681.8,605.4,620.0,624.8,702.9,855.9,35114820
4,COLEGIO MARISTA ANJO DA GUARDA EI EF EM,Curitiba,PR,50,679.3,611.9,615.5,621.1,717.8,830.0,41127242
5,COLEGIO MARISTA - VARGINHA,Varginha,MG,67,678.8,615.3,621.7,611.1,707.7,837.9,31293687
6,COLEGIO MARISTA SAO JOSE BARRA,Rio de Janeiro,RJ,39,677.8,589.6,617.7,620.5,703.1,857.9,33160830
7,COL MARISTA NOSSA SENHORA DO ROSARIO,Porto Alegre,RS,238,672.4,596.4,626.0,628.7,720.4,790.5,43108164
8,COL MARISTA JOAO PAULO II,Brasília,DF,63,669.4,610.0,613.9,617.3,699.0,806.7,53011074
9,COLEGIO MARISTA SAO JOSE,Rio de Janeiro,RJ,62,668.4,577.2,598.9,608.6,707.1,850.3,33066698
10,COLEGIO MARISTA PADRE EUSTAQUIO,Belo Horizonte,MG,95,668.3,589.5,598.7,616.0,716.4,820.8,31004880
11,COLEGIO MARISTA NOSSA SENHORA DA PENHA,Vila Velha,ES,46,667.8,589.3,603.1,610.8,702.5,833.0,32038224
12,COLEGIO MARISTA SAO LUIS,Recife,PE,158,666.3,592.9,599.8,605.7,726.7,806.1,26122162
13,COLEGIO MARISTA DE PATAMARES,Salvador,BA,91,664.9,602.8,604.9,615.5,681.4,819.8,29447518
14,ARQUIDIOCESANO DE SAO PAULO COLEGIO MARISTA,São Paulo,SP,199,662.8,594.7,612.1,615.7,715.5,775.9,35107177
15,COLEGIO MARISTA ALEXANDER FLEMING,Campo Grande,MS,73,662.6,603.9,605.4,594.6,702.7,806.6,50005405
16,COLEGIO MARISTA NOSSA SENHORA DE NAZARE,Belém,PA,114,661.2,592.3,613.9,599.4,669.7,830.9,15038424
17,COLEGIO MARISTA GOIANIA EI EF EM,Goiânia,GO,31,658.1,574.5,605.0,613.1,667.7,830.3,52033708
18,COLEGIO MARISTA PALMAS,Palmas,TO,18,658.0,590.6,617.9,601.3,697.0,783.3,17046807
19,COL MARISTA SAO JOSE,Montes Claros,MG,88,657.8,582.6,603.6,604.1,688.7,809.8,31096261
20,COLEGIO MARISTA SANTA MARIA EI EF EM,Curitiba,PR,197,657.5,595.9,612.2,615.2,701.4,763.0,41133153
21,COLEGIO MARISTA DE CASCAVEL EI EF EM,Cascavel,PR,37,657.2,598.9,597.5,597.7,689.7,802.2,41071859
22,COLEGIO MARISTA DIOCESANO,Uberaba,MG,40,657.1,576.1,604.8,611.7,685.4,807.5,31166332
23,COLEGIO MARISTA SAO LUIS EI EF EM,Jaraguá do Sul,SC,61,655.1,600.1,594.2,608.5,695.5,777.4,42091560
24,COLEGIO MARISTA PIO X,João Pessoa,PB,76,653.5,574.1,608.2,605.6,680.5,798.9,25093088
25,COLEGIO MARISTA DE BRASILIA ENSINO FUNDAMENTAL E ENSINO MEDIO,Brasília,DF,197,653.1,594.8,611.7,615.6,690.2,753.0,53001346
26,COL MARISTA CHAMPAGNAT,Uberlândia,MG,18,648.3,570.2,591.0,590.3,657.9,832.2,31170402
27,COLEGIO MARISTA CRICIUMA EI EF EM,Criciúma,SC,74,646.8,577.9,587.5,597.8,698.5,772.4,42011612
28,NOSSA SENHORA DA GLORIA COLEGIO MARISTA,São Paulo,SP,59,644.0,574.2,593.9,600.9,677.0,773.9,35106616
29,COLEGIO MARISTA SAO FRANCISCO EI EF EM,Chapecó,SC,72,643.5,569.3,607.3,600.3,683.5,757.2,42053480
30,COLEGIO MARISTA PARANAENSE EI EF EM,Curitiba,PR,168,642.4,580.4,596.0,599.9,702.6,733.0,41132130
31,COLEGIO MARISTA DE ALFENAS,Alfenas,MG,27,641.1,565.4,577.6,597.1,642.5,823.0,31318345
32,COLEGIO MARISTA SANTA MARIA,Santa Maria,RS,23,640.5,561.8,594.2,592.7,680.7,773.0,43121900
33,COLEGIO MARISTA SAO LUIS,Santa Cruz do Sul,RS,22,635.9,546.7,585.1,608.2,630.3,809.1,43119948
34,COLEGIO MARISTA IPANEMA,Porto Alegre,RS,73,634.1,559.6,592.6,599.2,689.8,729.3,43178740
35,COLEGIO MARISTA,Colatina,ES,36,631.8,562.2,577.4,583.6,627.2,808.9,32010311
