POS,NO_ENTIDADE,NO_MUNICIPIO,SG_UF,N_ALUNOS,CH,POS_GERAL
1,COLEGIO MARISTA DOM SILVERIO,Belo Horizonte,MG,98,639.5,1
2,COLEGIO MARISTA DE NATAL,Natal,RN,171,629.7,2
3,COL MARISTA NOSSA SENHORA DO ROSARIO,Porto Alegre,RS,238,626.0,7
4,COLEGIO MARISTA - VARGINHA,Varginha,MG,67,621.7,5
5,MARISTA COLEGIO DE RIBEIRAO PRETO,Ribeirão Preto,SP,68,620.0,3
6,COLEGIO MARISTA PALMAS,Palmas,TO,18,617.9,18
7,COLEGIO MARISTA SAO JOSE BARRA,Rio de Janeiro,RJ,39,617.7,6
8,COLEGIO MARISTA ANJO DA GUARDA EI EF EM,Curitiba,PR,50,615.5,4
9,COL MARISTA JOAO PAULO II,Brasília,DF,63,613.9,8
10,COLEGIO MARISTA NOSSA SENHORA DE NAZARE,Belém,PA,114,613.9,16
11,COLEGIO MARISTA SANTA MARIA EI EF EM,Curitiba,PR,197,612.2,20
12,ARQUIDIOCESANO DE SAO PAULO COLEGIO MARISTA,São Paulo,SP,199,612.1,14
13,COLEGIO MARISTA DE BRASILIA ENSINO FUNDAMENTAL E ENSINO MEDIO,Brasília,DF,197,611.7,25
14,COLEGIO MARISTA PIO X,João Pessoa,PB,76,608.2,24
15,COLEGIO MARISTA SAO FRANCISCO EI EF EM,Chapecó,SC,72,607.3,29
16,COLEGIO MARISTA ALEXANDER FLEMING,Campo Grande,MS,73,605.4,15
17,COLEGIO MARISTA GOIANIA EI EF EM,Goiânia,GO,31,605.0,17
18,COLEGIO MARISTA DE PATAMARES,Salvador,BA,91,604.9,13
19,COLEGIO MARISTA DIOCESANO,Uberaba,MG,40,604.8,22
20,COL MARISTA SAO JOSE,Montes Claros,MG,88,603.6,19
21,COLEGIO MARISTA NOSSA SENHORA DA PENHA,Vila Velha,ES,46,603.1,11
22,COLEGIO MARISTA SAGRADO CORACAO DE JESUS EI EF M,Araucária,PR,23,600.6,38
23,COLEGIO MARISTA SAO LUIS,Recife,PE,158,599.8,12
24,COLEGIO MARISTA SAO JOSE,Rio de Janeiro,RJ,62,598.9,9
25,COLEGIO MARISTA PADRE EUSTAQUIO,Belo Horizonte,MG,95,598.7,10
26,COLEGIO MARISTA DE CASCAVEL EI EF EM,Cascavel,PR,37,597.5,21
27,COL MARISTA CHAMPAGNAT,Brasília,DF,79,597.1,36
28,COLEGIO MARISTA PARANAENSE EI EF EM,Curitiba,PR,168,596.0,30
29,COLEGIO MARISTA SAO LUIS EI EF EM,Jaraguá do Sul,SC,61,594.2,23
30,COLEGIO MARISTA SANTA MARIA,Santa Maria,RS,23,594.2,32
31,NOSSA SENHORA DA GLORIA COLEGIO MARISTA,São Paulo,SP,59,593.9,28
32,COLEGIO MARISTA IPANEMA,Porto Alegre,RS,73,592.6,34
33,COL MARISTA CHAMPAGNAT,Uberlândia,MG,18,591.0,26
34,COLEGIO MARISTA CRICIUMA EI EF EM,Criciúma,SC,74,587.5,27
35,COLEGIO MARISTA SAO LUIS,Santa Cruz do Sul,RS,22,585.1,33
36,COLEGIO MARISTA SAO PEDRO,Porto Alegre,RS,46,584.3,51
37,MARISTA DE LONDRINA C - EI EF M,Londrina,PR,66,584.3,44
38,COLEGIO MARISTA CHAMPAGNAT,Porto Alegre,RS,50,584.0,40
39,COLEGIO MARISTA PIO XII EI EF E EM,Ponta Grossa,PR,71,584.0,42
40,COLEGIO MARISTA DO ARACAGY,São José de Ribamar,MA,82,582.0,45
41,COLEGIO MARISTA MARIA IMACULADA,Canela,RS,35,580.9,47
42,COL MARISTA AGUAS CLARAS,Brasília,DF,42,578.1,43
43,COLEGIO MARISTA DE ALFENAS,Alfenas,MG,27,577.6,31
44,COLEGIO MARISTA,Colatina,ES,36,577.4,35
45,COLEGIO MARISTA SANTO ANGELO,Santo Ângelo,RS,28,576.8,39
46,COLEGIO MARISTA FREI ROGERIO EI EF EM,Joaçaba,SC,40,576.6,41
47,COLEGIO MARISTA DE MARINGA EI EF EM,Maringá,PR,32,574.4,54
48,ESCOLA MARISTA CHAMPAGNAT TERRA VERMELHA,Vila Velha,ES,49,572.1,55
49,COLEGIO MARISTA SANTO ANTONIO,Sinop,MT,20,571.7,37
50,COLEGIO MARISTA SANT ANA,Uruguaiana,RS,56,570.7,49
51,COLEGIO MARISTA NOSSA SENHORA DAS GRACAS,Viamão,RS,54,570.4,50
52,COLEGIO MARISTA NOSSA SENHORA DA CONCEICAO,Passo Fundo,RS,37,568.2,48
53,COLEGIO MARISTA NOSSA SENHORA MEDIANEIRA,Erechim,RS,20,566.9,60
54,ESCOLA MARISTA CHAMPAGNAT TERESINA,Teresina,PI,141,563.2,59
55,COLEGIO MARISTA DE MACEIO,Maceió,AL,57,559.9,56
56,COLEGIO MARISTA PIO XII,Novo Hamburgo,RS,40,559.7,57
57,COLEGIO MARISTA SAO FRANCISCO - ED INF ENS FUND E MEDIO,Rio Grande,RS,58,558.6,46
58,COLEGIO MARISTA NOSSA SENHORA APARECIDA,Bento Gonçalves,RS,15,556.9,52
