POS,NO_ENTIDADE,NO_MUNICIPIO,SG_UF,N_ALUNOS,CN,POS_GERAL
1,COLEGIO MARISTA DOM SILVERIO,Belo Horizonte,MG,98,631.1,1
2,COLEGIO MARISTA DE NATAL,Natal,RN,171,619.7,2
3,COLEGIO MARISTA - VARGINHA,Varginha,MG,67,615.3,5
4,COLEGIO MARISTA ANJO DA GUARDA EI EF EM,Curitiba,PR,50,611.9,4
5,COL MARISTA JOAO PAULO II,Brasília,DF,63,610.0,8
6,MARISTA COLEGIO DE RIBEIRAO PRETO,Ribeirão Preto,SP,68,605.4,3
7,COLEGIO MARISTA ALEXANDER FLEMING,Campo Grande,MS,73,603.9,15
8,COLEGIO MARISTA DE PATAMARES,Salvador,BA,91,602.8,13
9,COLEGIO MARISTA SAO LUIS EI EF EM,Jaraguá do Sul,SC,61,600.1,23
10,COLEGIO MARISTA DE CASCAVEL EI EF EM,Cascavel,PR,37,598.9,21
11,COL MARISTA NOSSA SENHORA DO ROSARIO,Porto Alegre,RS,238,596.4,7
12,COLEGIO MARISTA SANTA MARIA EI EF EM,Curitiba,PR,197,595.9,20
13,COLEGIO MARISTA DE BRASILIA ENSINO FUNDAMENTAL E ENSINO MEDIO,Brasília,DF,197,594.8,25
14,ARQUIDIOCESANO DE SAO PAULO COLEGIO MARISTA,São Paulo,SP,199,594.7,14
15,COLEGIO MARISTA SAO LUIS,Recife,PE,158,592.9,12
16,COLEGIO MARISTA NOSSA SENHORA DE NAZARE,Belém,PA,114,592.3,16
17,COLEGIO MARISTA PIO XII EI EF E EM,Ponta Grossa,PR,71,590.7,42
18,COLEGIO MARISTA PALMAS,Palmas,TO,18,590.6,18
19,COLEGIO MARISTA SAO JOSE BARRA,Rio de Janeiro,RJ,39,589.6,6
20,COLEGIO MARISTA PADRE EUSTAQUIO,Belo Horizonte,MG,95,589.5,10
21,COLEGIO MARISTA NOSSA SENHORA DA PENHA,Vila Velha,ES,46,589.3,11
22,COL MARISTA SAO JOSE,Montes Claros,MG,88,582.6,19
23,COLEGIO MARISTA PARANAENSE EI EF EM,Curitiba,PR,168,580.4,30
24,COLEGIO MARISTA CRICIUMA EI EF EM,Criciúma,SC,74,577.9,27
25,COLEGIO MARISTA SAO JOSE,Rio de Janeiro,RJ,62,577.2,9
26,COLEGIO MARISTA DIOCESANO,Uberaba,MG,40,576.1,22
27,COLEGIO MARISTA GOIANIA EI EF EM,Goiânia,GO,31,574.5,17
28,NOSSA SENHORA DA GLORIA COLEGIO MARISTA,São Paulo,SP,59,574.2,28
29,COLEGIO MARISTA PIO X,João Pessoa,PB,76,574.1,24
30,COL MARISTA CHAMPAGNAT,Uberlândia,MG,18,570.2,26
31,COLEGIO MARISTA SAO FRANCISCO EI EF EM,Chapecó,SC,72,569.3,29
32,COLEGIO MARISTA SAGRADO CORACAO DE JESUS EI EF M,Araucária,PR,23,567.6,38
33,COLEGIO MARISTA MARIA IMACULADA,Canela,RS,35,566.4,47
34,COLEGIO MARISTA DE ALFENAS,Alfenas,MG,27,565.4,31
35,COLEGIO MARISTA,Colatina,ES,36,562.2,35
36,COLEGIO MARISTA SANTA MARIA,Santa Maria,RS,23,561.8,32
37,COLEGIO MARISTA DO ARACAGY,São José de Ribamar,MA,82,561.4,45
38,COLEGIO MARISTA IPANEMA,Porto Alegre,RS,73,559.6,34
39,MARISTA DE LONDRINA C - EI EF M,Londrina,PR,66,557.7,44
40,COL MARISTA CHAMPAGNAT,Brasília,DF,79,556.3,36
41,COL MARISTA AGUAS CLARAS,Brasília,DF,42,553.6,43
42,COLEGIO MARISTA FREI ROGERIO EI EF EM,Joaçaba,SC,40,552.3,41
43,COLEGIO MARISTA SANTO ANTONIO,Sinop,MT,20,551.4,37
44,COLEGIO MARISTA SAO PEDRO,Porto Alegre,RS,46,547.3,51
45,COLEGIO MARISTA SAO LUIS,Santa Cruz do Sul,RS,22,546.7,33
46,COLEGIO MARISTA CHAMPAGNAT,Porto Alegre,RS,50,543.4,40
47,COLEGIO MARISTA NOSSA SENHORA DAS GRACAS,Viamão,RS,54,541.6,50
48,COLEGIO MARISTA DE MARINGA EI EF EM,Maringá,PR,32,539.7,54
49,COLEGIO MARISTA DE MACEIO,Maceió,AL,57,538.8,56
50,COLEGIO MARISTA NOSSA SENHORA DA CONCEICAO,Passo Fundo,RS,37,536.1,48
51,COLEGIO MARISTA NOSSA SENHORA APARECIDA,Bento Gonçalves,RS,15,533.6,52
52,COLEGIO MARISTA SANTO ANGELO,Santo Ângelo,RS,28,533.6,39
53,MARISTA M CHAMPAGNAT C CTO SOC EI EF EM PROF,Cascavel,PR,10,529.9,62
54,COLEGIO MARISTA SANT ANA,Uruguaiana,RS,56,529.6,49
