POS,NO_ENTIDADE,NO_MUNICIPIO,SG_UF,N_ALUNOS,LC,POS_GERAL
1,COLEGIO MARISTA DOM SILVERIO,Belo Horizonte,MG,98,630.3,1
2,COL MARISTA NOSSA SENHORA DO ROSARIO,Porto Alegre,RS,238,628.7,7
3,MARISTA COLEGIO DE RIBEIRAO PRETO,Ribeirão Preto,SP,68,624.8,3
4,COLEGIO MARISTA DE NATAL,Natal,RN,171,623.0,2
5,COLEGIO MARISTA ANJO DA GUARDA EI EF EM,Curitiba,PR,50,621.1,4
6,COLEGIO MARISTA SAO JOSE BARRA,Rio de Janeiro,RJ,39,620.5,6
7,COL MARISTA JOAO PAULO II,Brasília,DF,63,617.3,8
8,COLEGIO MARISTA PADRE EUSTAQUIO,Belo Horizonte,MG,95,616.0,10
9,ARQUIDIOCESANO DE SAO PAULO COLEGIO MARISTA,São Paulo,SP,199,615.7,14
10,COLEGIO MARISTA DE BRASILIA ENSINO FUNDAMENTAL E ENSINO MEDIO,Brasília,DF,197,615.6,25
11,COLEGIO MARISTA DE PATAMARES,Salvador,BA,91,615.5,13
12,COLEGIO MARISTA SANTA MARIA EI EF EM,Curitiba,PR,197,615.2,20
13,COLEGIO MARISTA GOIANIA EI EF EM,Goiânia,GO,31,613.1,17
14,COLEGIO MARISTA DIOCESANO,Uberaba,MG,40,611.7,22
15,COLEGIO MARISTA - VARGINHA,Varginha,MG,67,611.1,5
16,COLEGIO MARISTA NOSSA SENHORA DA PENHA,Vila Velha,ES,46,610.8,11
17,COLEGIO MARISTA SAO JOSE,Rio de Janeiro,RJ,62,608.6,9
18,COLEGIO MARISTA SAO LUIS EI EF EM,Jaraguá do Sul,SC,61,608.5,23
19,COLEGIO MARISTA SAO LUIS,Santa Cruz do Sul,RS,22,608.2,33
20,COL MARISTA CHAMPAGNAT,Brasília,DF,79,605.9,36
21,COLEGIO MARISTA SAO LUIS,Recife,PE,158,605.7,12
22,COLEGIO MARISTA PIO X,João Pessoa,PB,76,605.6,24
23,COL MARISTA SAO JOSE,Montes Claros,MG,88,604.1,19
24,COLEGIO MARISTA SAGRADO CORACAO DE JESUS EI EF M,Araucária,PR,23,602.5,38
25,COLEGIO MARISTA PALMAS,Palmas,TO,18,601.3,18
26,NOSSA SENHORA DA GLORIA COLEGIO MARISTA,São Paulo,SP,59,600.9,28
27,COLEGIO MARISTA SANTO ANGELO,Santo Ângelo,RS,28,600.7,39
28,COLEGIO MARISTA SAO FRANCISCO EI EF EM,Chapecó,SC,72,600.3,29
29,COLEGIO MARISTA PARANAENSE EI EF EM,Curitiba,PR,168,599.9,30
30,COLEGIO MARISTA NOSSA SENHORA DE NAZARE,Belém,PA,114,599.4,16
31,COLEGIO MARISTA IPANEMA,Porto Alegre,RS,73,599.2,34
32,COLEGIO MARISTA CRICIUMA EI EF EM,Criciúma,SC,74,597.8,27
33,COLEGIO MARISTA DE CASCAVEL EI EF EM,Cascavel,PR,37,597.7,21
34,COLEGIO MARISTA DE ALFENAS,Alfenas,MG,27,597.1,31
35,COLEGIO MARISTA NOSSA SENHORA APARECIDA,Bento Gonçalves,RS,15,597.0,52
36,COLEGIO MARISTA ALEXANDER FLEMING,Campo Grande,MS,73,594.6,15
37,COLEGIO MARISTA MARIA IMACULADA,Canela,RS,35,594.0,47
38,COLEGIO MARISTA PIO XII EI EF E EM,Ponta Grossa,PR,71,593.5,42
39,COLEGIO MARISTA SANTA MARIA,Santa Maria,RS,23,592.7,32
40,MARISTA DE LONDRINA C - EI EF M,Londrina,PR,66,591.9,44
41,COLEGIO MARISTA NOSSA SENHORA DA CONCEICAO,Passo Fundo,RS,37,591.7,48
42,COLEGIO MARISTA SAO PEDRO,Porto Alegre,RS,46,590.4,51
43,COL MARISTA CHAMPAGNAT,Uberlândia,MG,18,590.3,26
44,COL MARISTA AGUAS CLARAS,Brasília,DF,42,590.3,43
45,COLEGIO MARISTA CHAMPAGNAT,Porto Alegre,RS,50,587.5,40
46,COLEGIO MARISTA PIO XII,Novo Hamburgo,RS,40,586.8,57
47,COLEGIO MARISTA NOSSA SENHORA DAS GRACAS,Viamão,RS,54,585.0,50
48,COLEGIO MARISTA FREI ROGERIO EI EF EM,Joaçaba,SC,40,584.5,41
49,COLEGIO MARISTA DO ARACAGY,São José de Ribamar,MA,82,583.8,45
50,COLEGIO MARISTA SANT ANA,Uruguaiana,RS,56,583.6,49
51,COLEGIO MARISTA,Colatina,ES,36,583.6,35
52,COLEGIO MARISTA ASSUNCAO,Porto Alegre,RS,46,582.4,61
