POS,NO_ENTIDADE,NO_MUNICIPIO,SG_UF,N_ALUNOS,MT,POS_GERAL
1,COLEGIO MARISTA DOM SILVERIO,Belo Horizonte,MG,98,761.7,1
2,COLEGIO MARISTA DE NATAL,Natal,RN,171,745.3,2
3,COLEGIO MARISTA SAO LUIS,Recife,PE,158,726.7,12
4,COL MARISTA NOSSA SENHORA DO ROSARIO,Porto Alegre,RS,238,720.4,7
5,COLEGIO MARISTA ANJO DA GUARDA EI EF EM,Curitiba,PR,50,717.8,4
6,COLEGIO MARISTA PADRE EUSTAQUIO,Belo Horizonte,MG,95,716.4,10
7,ARQUIDIOCESANO DE SAO PAULO COLEGIO MARISTA,São Paulo,SP,199,715.5,14
8,COLEGIO MARISTA - VARGINHA,Varginha,MG,67,707.7,5
9,COLEGIO MARISTA SAO JOSE,Rio de Janeiro,RJ,62,707.1,9
10,COLEGIO MARISTA SAO JOSE BARRA,Rio de Janeiro,RJ,39,703.1,6
11,MARISTA COLEGIO DE RIBEIRAO PRETO,Ribeirão Preto,SP,68,702.9,3
12,COLEGIO MARISTA ALEXANDER FLEMING,Campo Grande,MS,73,702.7,15
13,COLEGIO MARISTA PARANAENSE EI EF EM,Curitiba,PR,168,702.6,30
14,COLEGIO MARISTA NOSSA SENHORA DA PENHA,Vila Velha,ES,46,702.5,11
15,COLEGIO MARISTA SANTA MARIA EI EF EM,Curitiba,PR,197,701.4,20
16,COL MARISTA JOAO PAULO II,Brasília,DF,63,699.0,8
17,COLEGIO MARISTA CRICIUMA EI EF EM,Criciúma,SC,74,698.5,27
18,COLEGIO MARISTA PALMAS,Palmas,TO,18,697.0,18
19,COLEGIO MARISTA SAO LUIS EI EF EM,Jaraguá do Sul,SC,61,695.5,23
20,COLEGIO MARISTA DE BRASILIA ENSINO FUNDAMENTAL E ENSINO MEDIO,Brasília,DF,197,690.2,25
21,COLEGIO MARISTA IPANEMA,Porto Alegre,RS,73,689.8,34
22,COLEGIO MARISTA DE CASCAVEL EI EF EM,Cascavel,PR,37,689.7,21
