POS,NO_ENTIDADE,NO_MUNICIPIO,SG_UF,N_ALUNOS,REDACAO,POS_GERAL
1,COLEGIO MARISTA DE NATAL,Natal,RN,171,867.3,2
2,COLEGIO MARISTA SAO JOSE BARRA,Rio de Janeiro,RJ,39,857.9,6
3,MARISTA COLEGIO DE RIBEIRAO PRETO,Ribeirão Preto,SP,68,855.9,3
4,COLEGIO MARISTA SANTO ANTONIO,Sinop,MT,20,855.0,37
5,COLEGIO MARISTA DOM SILVERIO,Belo Horizonte,MG,98,853.1,1
6,COLEGIO MARISTA SAO JOSE,Rio de Janeiro,RJ,62,850.3,9
7,COLEGIO MARISTA PIO XII,Surubim,PE,72,842.5,53
8,COLEGIO MARISTA - VARGINHA,Varginha,MG,67,837.9,5
9,COLEGIO MARISTA NOSSA SENHORA DA PENHA,Vila Velha,ES,46,833.0,11
10,COL MARISTA CHAMPAGNAT,Uberlândia,MG,18,832.2,26
11,COLEGIO MARISTA NOSSA SENHORA DE NAZARE,Belém,PA,114,830.9,16
12,COLEGIO MARISTA GOIANIA EI EF EM,Goiânia,GO,31,830.3,17
13,COLEGIO MARISTA ANJO DA GUARDA EI EF EM,Curitiba,PR,50,830.0,4
14,COLEGIO MARISTA DE ALFENAS,Alfenas,MG,27,823.0,31
15,COLEGIO MARISTA PADRE EUSTAQUIO,Belo Horizonte,MG,95,820.8,10
16,COLEGIO MARISTA DE PATAMARES,Salvador,BA,91,819.8,13
17,COL MARISTA SAO JOSE,Montes Claros,MG,88,809.8,19
18,COLEGIO MARISTA SAO LUIS,Santa Cruz do Sul,RS,22,809.1,33
19,COLEGIO MARISTA,Colatina,ES,36,808.9,35
20,COLEGIO MARISTA DIOCESANO,Uberaba,MG,40,807.5,22
21,COL MARISTA JOAO PAULO II,Brasília,DF,63,806.7,8
22,COLEGIO MARISTA ALEXANDER FLEMING,Campo Grande,MS,73,806.6,15
23,COLEGIO MARISTA SAO LUIS,Recife,PE,158,806.1,12
24,ESCOLA MARISTA CHAMPAGNAT TERRA VERMELHA,Vila Velha,ES,49,802.9,55
25,COLEGIO MARISTA DE CASCAVEL EI EF EM,Cascavel,PR,37,802.2,21
26,COLEGIO MARISTA SAO FRANCISCO - ED INF ENS FUND E MEDIO,Rio Grande,RS,58,799.7,46
27,COLEGIO MARISTA PIO X,João Pessoa,PB,76,798.9,24
28,COLEGIO MARISTA DO ARACAGY,São José de Ribamar,MA,82,798.5,45
29,COL MARISTA NOSSA SENHORA DO ROSARIO,Porto Alegre,RS,238,790.5,7
30,COLEGIO MARISTA CHAMPAGNAT,Porto Alegre,RS,50,785.2,40
31,COLEGIO MARISTA SANT ANA,Uruguaiana,RS,56,783.6,49
32,COLEGIO MARISTA PALMAS,Palmas,TO,18,783.3,18
33,COLEGIO MARISTA SAO LUIS EI EF EM,Jaraguá do Sul,SC,61,777.4,23
34,ARQUIDIOCESANO DE SAO PAULO COLEGIO MARISTA,São Paulo,SP,199,775.9,14
35,ESCOLA MARISTA CHAMPAGNAT TERESINA,Teresina,PI,141,775.0,59
36,NOSSA SENHORA DA GLORIA COLEGIO MARISTA,São Paulo,SP,59,773.9,28
37,COLEGIO MARISTA SANTA MARIA,Santa Maria,RS,23,773.0,32
38,COL MARISTA AGUAS CLARAS,Brasília,DF,42,772.4,43
39,COLEGIO MARISTA CRICIUMA EI EF EM,Criciúma,SC,74,772.4,27
40,COLEGIO MARISTA FREI ROGERIO EI EF EM,Joaçaba,SC,40,771.0,41
41,COLEGIO MARISTA DE MACEIO,Maceió,AL,57,770.9,56
