rank,CO_ITEM,area,hab,pos_azul,gab,a,b,c,p_obs,P_pred,misfit,pctA(disc),pctC(chute),pctMisfit,IPT
1,153134,MT,3,146,B,1.254,0.850,0.213,0.526,0.454,0.072,89,77,85,83.6
2,41895,MT,12,159,D,1.460,1.395,0.266,0.449,0.400,0.049,82,91,73,81.8
3,49227,MT,29,165,D,1.256,1.964,0.249,0.297,0.342,0.045,88,85,68,80.3
4,150642,LC,23,35,E,1.261,1.310,0.279,0.472,0.436,0.037,88,94,58,79.9
5,141601,CN,23,122,D,2.302,1.650,0.315,0.289,0.381,0.092,44,98,89,76.9
6,97650,CN,25,100,D,1.129,-0.221,0.207,0.599,0.643,0.043,92,72,66,76.7
7,117869,CN,16,96,B,1.403,0.057,0.183,0.671,0.580,0.092,84,55,89,76.4
8,140583,CH,26,57,A,1.452,0.327,0.257,0.601,0.566,0.036,82,88,57,75.8
9,150674,LC,2,24,B,2.052,0.633,0.211,0.568,0.459,0.109,57,76,93,75.4
10,157619,LC,10,19,E,1.821,-0.298,0.196,0.781,0.667,0.114,66,64,94,75.0
11,96852,MT,25,163,B,1.554,0.316,0.238,0.595,0.554,0.041,78,83,63,74.5
12,153945,LC,8,2,A,1.821,1.323,0.197,0.249,0.333,0.085,67,66,88,73.6
13,157615,LC,15,16,E,1.641,0.960,0.191,0.465,0.396,0.069,73,63,84,73.2
14,140594,CH,19,63,B,1.864,1.145,0.261,0.451,0.409,0.042,65,90,63,72.6
15,95625,MT,17,143,A,1.202,0.774,0.162,0.496,0.435,0.061,90,45,80,71.7
16,153930,LC,6,5,A,2.280,0.186,0.200,0.718,0.553,0.165,46,68,99,70.9
17,157750,LC,1,7,C,2.052,0.898,0.208,0.465,0.403,0.062,58,73,82,70.8
18,111737,CN,27,109,E,2.026,1.008,0.220,0.348,0.393,0.045,59,80,68,69.1
19,118169,LC,7,2,D,2.945,0.599,0.246,0.645,0.475,0.170,20,84,100,68.0
20,153556,LC,13,15,A,2.037,0.743,0.211,0.482,0.436,0.046,58,75,71,68.0
21,86942,MT,9,139,C,1.013,2.908,0.311,0.367,0.362,0.005,95,98,9,67.2
22,120714,LC,4,45,C,2.622,0.595,0.259,0.550,0.488,0.062,30,89,82,67.0
23,63293,MT,5,141,C,1.713,1.916,0.249,0.344,0.317,0.027,71,85,44,66.7
24,96979,MT,1,151,D,1.577,0.091,0.171,0.615,0.565,0.050,75,51,74,66.5
25,141529,CN,5,130,E,3.096,1.798,0.263,0.205,0.307,0.102,15,91,92,65.9
26,154020,LC,9,18,A,2.442,-0.028,0.196,0.765,0.606,0.159,35,65,98,65.7
27,153836,LC,6,3,D,2.386,0.677,0.187,0.586,0.425,0.161,37,61,98,65.5
28,141522,CN,2,119,B,1.318,2.881,0.294,0.317,0.325,0.008,85,96,15,65.2
29,31953,MT,16,150,D,2.055,1.530,0.267,0.387,0.357,0.030,56,92,47,65.2
30,117856,MT,18,158,C,2.169,1.830,0.226,0.325,0.287,0.038,54,82,60,65.2
31,153550,LC,12,41,B,1.563,0.979,0.229,0.402,0.425,0.023,76,82,36,64.8
32,28587,MT,16,176,C,1.699,1.055,0.169,0.410,0.359,0.051,72,48,75,64.8
33,157571,LC,11,12,C,2.299,0.186,0.185,0.644,0.544,0.100,45,58,91,64.4
34,118062,CH,28,77,A,2.194,0.355,0.255,0.577,0.546,0.031,53,88,50,63.5
35,157665,LC,21,14,C,1.039,0.319,0.007,0.543,0.437,0.106,94,1,93,62.6
36,60344,MT,4,136,C,1.844,0.878,0.134,0.455,0.360,0.095,66,31,91,62.6
37,150505,LC,16,28,B,1.232,0.541,0.105,0.499,0.440,0.060,89,19,78,62.2
38,112144,CH,18,49,C,1.847,0.940,0.210,0.433,0.405,0.028,65,74,46,62.0
39,153419,LC,28,31,D,0.671,0.114,0.008,0.550,0.487,0.064,99,2,83,61.5
40,141754,CN,11,97,D,2.647,0.624,0.211,0.388,0.449,0.060,29,75,79,61.3
41,78625,CN,22,101,A,1.544,0.988,0.379,0.534,0.536,0.003,79,99,5,61.1
42,28216,MT,8,164,A,1.107,1.835,0.185,0.335,0.315,0.021,93,58,32,61.1
43,126023,MT,10,179,A,1.623,0.456,0.178,0.453,0.488,0.034,73,53,55,60.5
44,157598,LC,18,17,C,1.568,1.949,0.237,0.298,0.311,0.014,75,83,23,60.3
45,157593,LC,3,43,D,1.171,0.662,0.008,0.439,0.357,0.082,92,1,87,60.0
46,125905,MT,6,138,E,2.200,1.779,0.171,0.298,0.239,0.058,52,50,78,60.0
47,97320,CN,10,98,D,3.000,-0.111,0.210,0.714,0.635,0.079,18,74,87,59.4
48,149742,CH,4,53,E,2.130,1.011,0.185,0.317,0.362,0.044,55,57,66,59.4
49,17166,LC,24,44,D,3.225,0.664,0.254,0.524,0.463,0.061,12,87,80,59.4
50,140845,LC,2,33,B,2.094,0.207,0.131,0.620,0.511,0.109,56,28,94,59.2
51,152784,LC,30,39,C,2.939,0.369,0.188,0.612,0.493,0.119,20,62,95,59.0
52,117625,MT,19,157,C,2.712,1.244,0.273,0.417,0.381,0.036,27,93,58,59.0
53,83900,CH,5,71,A,2.849,0.318,0.215,0.575,0.524,0.051,24,78,74,58.7
54,149784,CH,27,56,C,3.395,0.439,0.217,0.564,0.490,0.074,11,79,85,58.3
55,140932,CH,25,81,E,1.973,1.410,0.208,0.298,0.324,0.026,61,73,41,58.3
56,111673,MT,14,170,B,2.217,2.023,0.277,0.338,0.319,0.019,51,93,30,58.1
57,152688,LC,6,1,B,1.125,0.365,0.207,0.544,0.539,0.005,93,72,9,57.9
