CO_ESCOLA;MUNICIPIO;DEP;N;LC;CH;CN;MT;RED;MEDIA5
24000493;Areia Branca;4;21;518.93;464.26;469.94;473.87;661.90;517.78
24037079;Parelhas;2;97;490.92;462.51;467.97;459.60;490.93;474.39
24039357;Barcelona;2;20;488.37;461.48;445.59;438.29;484.00;463.55
24003662;Mossoró;4;13;551.16;544.58;539.34;662.22;813.85;622.23
24026883;Caiçara do Rio do Vento;2;22;470.85;452.12;456.01;425.78;449.09;450.77
24032670;Ipueira;2;11;493.65;471.99;499.51;499.45;578.18;508.56
24058564;Natal;2;16;499.69;455.61;470.02;455.72;615.00;499.21
24088463;Natal;2;124;531.65;507.36;498.79;492.87;595.97;525.33
24036730;Ouro Branco;2;31;507.90;470.07;472.57;453.61;546.45;490.12
24018910;Portalegre;2;55;526.20;499.05;480.69;493.84;596.00;519.16
24058610;Natal;2;13;531.02;500.86;507.61;500.70;523.08;512.65
24063010;Vila Flor;2;13;459.01;412.69;462.08;455.61;503.08;458.49
24067520;São José de Mipibu;4;18;529.76;511.81;493.26;495.86;683.33;542.80
24060798;Arês;2;63;478.07;451.62;453.67;435.06;470.48;457.78
24041637;Santa Cruz;2;70;506.88;468.90;480.88;455.24;549.71;492.32
24042528;São Bento do Trairí;2;21;490.21;481.87;464.94;444.84;635.24;503.42
24064408;Parelhas;2;14;470.12;441.98;432.92;416.09;577.14;467.65
24002283;Mossoró;2;51;514.92;476.88;481.88;491.34;532.16;499.44
24021490;Almino Afonso;2;35;503.95;473.28;457.42;462.44;528.00;485.02
24334332;Macaíba;2;21;454.56;441.84;457.81;422.60;479.05;451.17
24056340;Extremoz;2;83;507.21;465.77;471.35;441.85;543.13;485.86
24002330;Mossoró;2;238;534.03;497.85;493.05;512.47;618.91;531.26
24031348;Caicó;2;77;520.38;488.52;490.25;480.51;525.71;501.08
24052787;Macaíba;1;84;576.06;558.86;586.18;614.63;734.52;614.05
24061247;Canguaretama;2;15;448.00;434.58;445.55;397.95;488.00;442.82
24015806;Alexandria;2;80;493.19;479.02;474.15;469.44;517.50;486.66
24074667;Mossoró;4;50;575.68;574.90;570.55;659.81;801.20;636.43
24065803;Campo Grande;2;68;483.49;451.65;462.29;448.11;556.76;480.46
24002291;Mossoró;2;163;516.63;481.44;477.51;484.16;544.66;500.88
24057193;Natal;4;18;579.80;584.09;581.53;618.82;761.11;625.07
24058580;Natal;2;15;472.97;453.94;438.14;429.12;404.00;439.63
24088030;Extremoz;4;25;532.79;506.48;486.54;499.86;636.80;532.50
24025569;Macau;2;49;491.49;462.71;468.56;440.43;536.33;479.90
24020664;Tenente Ananias;2;58;484.32;457.24;466.50;434.81;417.59;452.09
24085367;Canguaretama;1;181;575.08;548.01;529.86;593.33;622.54;573.76
24049727;Serrinha;2;39;461.60;437.74;462.42;429.66;460.51;450.39
24073784;Mossoró;4;144;559.04;545.14;530.84;573.65;786.81;599.09
