CO_ESCOLA;NO_ENTIDADE
24034410;ESCOLA ESTADUAL DOUTOR JOSE GONCALVES DE MEDEIROS
24034428;ESCOLA ESTADUAL PROFESSORA IRACEMA BRANDAO DE ARAUJO ENSINO MEDIO EM TEMPO INTEGRAL
24009296;COMPLEXO EDUCACIONAL SANTO ANDRE
24009318;EDUCANDARIO NOSSA SRA DAS VITORIAS
24009334;ESCOLA ESTADUAL JUSCELINO KUBITSCHEK
24009369;ESCOLA ESTADUAL MARCOS ALBERTO DE SA LEITAO
24080187;COLEGIO DO FUTURO - ENSINO MEDIO
24089109;CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL PROFESSOR GILMAR RODRIGUES DE LIMA
24026107;ESCOLA ESTADUAL PROFESSORA GILDECINA BEZERRA
24064238;ESCOLA ESTADUAL PROFESSOR PEDRO RAIMUNDO DO NASCIMENTO
24015806;ESCOLA ESTADUAL 7 DE NOVEMBRO
24021490;ESCOLA ESTADUAL RONALD NEO JUNIOR
24082252;ESCOLA ESTADUAL PROFESSORA MARIA RODRIGUES GONCALVES
24087360;CEEP CENTRO DE EDUCACAO PROFISSIONAL PROFESSORA MARIA RODRIGUES GONCALVES
24026522;EE PROFª JOANA HONORIO DA SILVEIRA MOURA
24026557;ESCOLA ESTADUAL PROFESSOR FRANCISCO VERAS
24022144;ESCOLA ESTADUAL GOVERNADOR WALFREDO GURGEL
24004260;ESCOLA ESTADUAL PROFESSOR ANTONIO DANTAS
24004308;ESCOLA ESTADUAL SEBASTIAO GOMES DE OLIVEIRA
24071595;E E PROFª Mª ZENILDA GAMA TORRESENS MEDIO EM TEMPO INTEGRAL E EDU PROFISSIONAL TEC DE NIVEL MEDIO
24080578;ESCOLA ESTADUAL VALDEMIRO PEDRO VIANA
24327328;IFRN - CAMPUS APODI
24000027;ESCOLA ESTADUAL DESEMBARGADOR SILVERIO SOARES
24000132;ESCOLA ESTADUAL CONEGO ISMAR FERNANDES DE QUEIROZ
24000140;ESCOLA ESTADUAL CONSELHEIRO BRITO GUERRA
24000191;ESCOLA ESTADUAL ELITA MONTE
24000493;INSTITUTO DANTAS MONTEIRO
24060798;ESCOLA ESTADUAL JACUMAUMA
24065803;ESCOLA ESTADUAL PROFESSOR ADRIAO MELO
24073857;ESCOLA ESTADUAL PROFESSOR PAULO FREIRE
24000647;ESCOLA ESTADUAL JOAO DE ABREU
24000922;ESCOLA NOVO MUNDO LTDA
24039357;ESCOLA ESTADUAL PROFESSOR TERTULIANO PINHEIRO FILHO
24037842;ESCOLA ESTADUAL SENADOR JOAO CAMARA
24070211;ESCOLA ESTADUAL SERVULO PEREIRA DE ARAUJO
24044709;ESCOLA ESTADUAL JOAO ALVES DE MELO
24044970;ESCOLA ESTADUAL JOSE LUCIO RIBEIRO
24026026;ESCOLA ESTADUAL GODOFREDO CACHO
24026883;ESCOLA ESTADUAL DOUTOR GERALDO ANDRADE TEIXEIRA
24031313;CEJA SENADOR GUERRA
24031348;CE JOSE AUGUSTO
24031372;COLEGIO DIOCESANO SERIDOENSE
24031470;EDUCANDARIO STA TERESINHA
24031496;ESCOLA ESTADUAL PADRE EDMUND KAGERER
24031585;ESCOLA ESTADUAL PROFESSOR ANTONIO ALADIM DE ARAUJO
24031658;ESCOLA ESTADUAL PROFESSORA CALPURNIA CALDAS DE AMORIM
24068500;CENTRO EDUCACIONAL INTEGRADO DO SERIDO
24079286;COLEGIO SANTA CLARA
24329312;IFRN - CAMPUS CAICO
