co_item,area,tipo,motivo,gab,banda_ini,banda_meio,n_banda,alt,pct
96748,CN,tri,Problema de convergência,B,300,325,38032,A,20.33
96748,CN,tri,Problema de convergência,B,300,325,38032,B,25.75
96748,CN,tri,Problema de convergência,B,300,325,38032,C,22.3
96748,CN,tri,Problema de convergência,B,300,325,38032,D,18.1
96748,CN,tri,Problema de convergência,B,300,325,38032,E,12.56
96748,CN,tri,Problema de convergência,B,300,325,38032,outros,0.97
96748,CN,tri,Problema de convergência,B,350,375,285814,A,20.04
96748,CN,tri,Problema de convergência,B,350,375,285814,B,26.28
96748,CN,tri,Problema de convergência,B,350,375,285814,C,22.88
96748,CN,tri,Problema de convergência,B,350,375,285814,D,18.48
96748,CN,tri,Problema de convergência,B,350,375,285814,E,11.95
96748,CN,tri,Problema de convergência,B,350,375,285814,outros,0.37
96748,CN,tri,Problema de convergência,B,400,425,545453,A,18.77
96748,CN,tri,Problema de convergência,B,400,425,545453,B,27.41
96748,CN,tri,Problema de convergência,B,400,425,545453,C,23.67
96748,CN,tri,Problema de convergência,B,400,425,545453,D,19.0
96748,CN,tri,Problema de convergência,B,400,425,545453,E,10.83
96748,CN,tri,Problema de convergência,B,400,425,545453,outros,0.32
96748,CN,tri,Problema de convergência,B,450,475,738975,A,17.47
96748,CN,tri,Problema de convergência,B,450,475,738975,B,28.22
96748,CN,tri,Problema de convergência,B,450,475,738975,C,24.5
96748,CN,tri,Problema de convergência,B,450,475,738975,D,19.56
96748,CN,tri,Problema de convergência,B,450,475,738975,E,9.88
96748,CN,tri,Problema de convergência,B,450,475,738975,outros,0.37
96748,CN,tri,Problema de convergência,B,500,525,756189,A,16.02
96748,CN,tri,Problema de convergência,B,500,525,756189,B,28.61
96748,CN,tri,Problema de convergência,B,500,525,756189,C,25.12
96748,CN,tri,Problema de convergência,B,500,525,756189,D,20.69
96748,CN,tri,Problema de convergência,B,500,525,756189,E,9.17
96748,CN,tri,Problema de convergência,B,500,525,756189,outros,0.39
96748,CN,tri,Problema de convergência,B,550,575,486969,A,14.42
96748,CN,tri,Problema de convergência,B,550,575,486969,B,27.52
96748,CN,tri,Problema de convergência,B,550,575,486969,C,25.89
96748,CN,tri,Problema de convergência,B,550,575,486969,D,22.6
96748,CN,tri,Problema de convergência,B,550,575,486969,E,9.08
96748,CN,tri,Problema de convergência,B,550,575,486969,outros,0.5
