area,pos,pct
CN,1,0.1409
CN,2,0.1603
CN,3,0.1146
CN,4,0.1495
CN,5,0.1233
CN,6,0.1043
CN,7,0.1097
CN,8,0.1136
CN,9,0.1355
CN,10,0.1544
CN,11,0.1578
CN,12,0.1134
CN,13,0.1731
CN,14,0.1862
CN,15,0.1951
CN,16,0.1841
CN,17,0.1020
CN,18,0.1684
CN,19,0.1716
CN,20,0.1467
CN,21,0.1325
CN,22,0.1777
CN,23,0.2212
CN,24,0.1949
CN,25,0.1965
CN,26,0.1987
CN,27,0.2186
CN,28,0.3122
CN,29,0.3013
CN,30,0.3691
CN,31,0.1947
CN,32,0.1455
CN,33,0.2076
CN,34,0.2885
CN,35,0.2923
CN,36,0.2706
CN,37,0.2759
CN,38,0.2422
CN,39,0.2089
CN,40,0.2454
CN,41,0.2179
CN,42,0.2500
CN,43,0.2846
CN,44,0.2521
CN,45,0.2722
CH,1,0.4468
CH,2,0.5110
CH,3,0.5897
CH,4,0.5349
CH,5,0.4908
CH,6,0.5699
CH,7,0.5096
CH,8,0.5861
CN media=0.20% pos1-5=0.00 pos41-45=0.00 present=3260336
CH,9,0.5388
CH,10,0.6184
CH,11,0.5800
CH,12,0.6887
CH,13,0.6221
CH,14,0.6000
CH,15,0.6534
CH,16,0.6756
CH,17,0.6852
CH,18,0.6152
CH,19,0.7407
CH,20,0.6884
CH,21,0.7331
CH,22,0.8000
CH,23,0.6797
CH,24,0.7365
CH,25,0.7472
CH,26,0.8465
CH,27,0.7887
CH,28,0.8337
CH,29,0.8725
CH,30,0.9025
CH,31,0.7952
CH,32,0.7976
CH,33,0.9095
CH,34,0.8581
CH,35,0.9071
CH,36,0.9251
CH,37,1.0093
CH,38,1.0586
CH,39,1.0112
CH,40,1.0811
CH,41,0.9545
CH,42,1.0433
CH,43,1.0049
CH,44,1.0091
CH,45,0.9817
LC,1,0.4228
LC,2,0.4418
CH media=0.76% pos1-5=0.00 pos41-45=0.00 present=3457555
LC,3,0.4543
LC,4,0.4619
LC,5,0.4670
LC,6,0.3977
LC,7,0.4216
LC,8,0.4439
LC,9,0.4213
LC,10,0.4387
LC,11,0.2665
LC,12,0.3258
LC,13,0.3599
LC,14,0.2200
LC,15,0.2795
LC,16,0.3007
LC,17,0.2550
LC,18,0.2932
LC,19,0.3056
LC,20,0.3500
LC,21,0.2377
LC,22,0.2921
LC,23,0.4129
LC,24,0.2862
LC,25,0.4728
LC,26,0.3719
LC,27,0.2232
LC,28,0.2853
LC,29,0.4324
LC,30,0.4648
LC,31,0.2840
LC,32,0.4344
LC,33,0.4875
LC,34,0.3684
LC,35,0.4081
LC,36,0.3618
LC,37,0.4282
LC,38,0.5554
LC,39,0.3894
LC,40,0.5445
LC,41,0.5725
LC,42,0.5014
LC,43,0.4743
LC,44,0.5327
LC,45,0.6142
MT,1,0.1376
MT,2,0.2131
LC media=0.39% pos1-5=0.00 pos41-45=0.00 present=3457555
MT,3,0.1851
MT,4,0.1547
MT,5,0.1629
MT,6,0.2059
MT,7,0.1957
MT,8,0.1262
MT,9,0.2867
MT,10,0.1515
MT,11,0.1652
MT,12,0.2500
MT,13,0.2042
MT,14,0.1817
MT,15,0.1570
MT,16,0.1818
MT,17,0.1636
MT,18,0.3391
MT,19,0.1665
MT,20,0.2775
MT,21,0.2832
MT,22,0.2691
MT,23,0.2828
MT,24,0.3213
MT,25,0.3782
MT,26,0.2941
MT,27,0.3217
MT,28,0.3515
MT,29,0.4013
MT,30,0.3671
MT,31,0.2881
MT,32,0.3411
MT,33,0.3288
MT,34,0.3667
MT,35,0.2765
MT,36,0.3716
MT,37,0.4069
MT,38,0.3418
MT,39,0.3463
MT,40,0.4176
MT,41,0.3652
MT,42,0.3952
MT,43,0.3589
MT,44,0.3911
MT,45,0.2642
MT media=0.28% pos1-5=0.00 pos41-45=0.00 present=3260336
