area,area_nome,q,hab,pct_acerto,dif_tri,gab,n_resp
LC,Linguagens,Q26,LCH26,87,440.0,B,3368961
LC,Linguagens,Q19,LCH10,78.1,470.0,E,3368961
LC,Linguagens,Q18,LCH9,76.5,497.0,A,3368961
LC,Linguagens,Q5 (ING),LCH6,71.8,519.0,A,2016194
LC,Linguagens,Q27,LCH9,70.5,496.0,A,3368961
LC,Linguagens,Q2 (ING),LCH7,64.5,560.0,D,2016194
LC,Linguagens,Q12,LCH11,64.4,519.0,C,3368961
LC,Linguagens,Q22,LCH12,62.8,528.0,B,3368961
LC,Linguagens,Q33,LCH2,62,521.0,B,3368961
LC,Linguagens,Q1 (ING),LCH7,61.8,537.0,D,2016194
LC,Linguagens,Q39,LCH30,61.2,537.0,C,3368961
CH,Ciências Humanas,Q57,CHH26,60.1,533.0,A,3368961
LC,Linguagens,Q3 (ING),LCH6,58.6,568.0,D,2016194
CH,Ciências Humanas,Q73,CHH15,58.4,539.0,A,3368961
CH,Ciências Humanas,Q77,CHH28,57.7,536.0,A,3368961
