area,ano,acertos,nota_min,nota_max,nota_media,n_candidatos
CH,2025,0,0.0,328.5,25.380182648401828,9855
CH,2025,1,325.6,363.1,332.6017733230532,1297
CH,2025,2,325.6,388.2,341.11755564888705,2381
CH,2025,3,325.6,409.0,349.13260454624333,5763
CH,2025,4,326.1,426.7,357.073889405537,13979
CH,2025,5,326.2,436.8,366.408587563287,30812
CH,2025,6,326.7,451.7,376.1804636347549,56510
CH,2025,7,320.8,464.5,386.8437971870267,91789
CH,2025,8,330.5,476.0,398.63975503618605,128917
CH,2025,9,332.0,490.6,411.5032640408461,164520
CH,2025,10,336.1,506.7,425.40596048654476,191226
CH,2025,11,337.0,522.9,440.61106589119316,207873
CH,2025,12,343.3,531.8,456.27033660491156,214881
CH,2025,13,343.0,544.4,472.36149296080015,212169
CH,2025,14,348.1,550.6,488.18709688452816,204656
CH,2025,15,359.4,561.3,502.97344440984125,192660
CH,2025,16,372.0,567.2,516.7486815992507,179384
CH,2025,17,389.4,576.0,529.2744485060875,165505
CH,2025,18,410.9,583.3,540.442964036202,151152
CH,2025,19,444.2,591.3,550.7870780438545,138640
CH,2025,20,466.3,599.0,560.3291121307759,127057
CH,2025,21,484.6,607.7,569.3226587325507,116123
CH,2025,22,485.2,616.0,577.9232460039724,105730
CH,2025,23,514.9,622.5,586.2299549899114,96645
CH,2025,24,538.4,628.3,594.3781294128364,87812
CH,2025,25,549.2,636.6,602.293073979913,79454
CH,2025,26,553.6,645.4,610.126724693746,71346
CH,2025,27,570.9,650.5,618.0146533082345,64279
CH,2025,28,573.2,660.2,625.8949133633163,57366
CH,2025,29,585.9,666.2,633.7441838039949,50815
CH,2025,30,587.3,676.9,641.8726941419959,44452
CH,2025,31,599.6,682.0,649.970031686176,38187
CH,2025,32,615.6,690.5,658.5122674786699,33169
CH,2025,33,622.0,699.2,667.1754698491583,28573
CH,2025,34,628.9,708.7,676.1647313545783,23786
CH,2025,35,639.5,718.2,685.7032661393213,19595
CH,2025,36,650.5,729.0,696.0446033151967,15806
CH,2025,37,659.1,738.9,706.8250312369846,12005
CH,2025,38,670.6,748.4,718.5683437427714,8646
CH,2025,39,691.5,763.8,731.6845997286297,5896
CH,2025,40,696.5,775.6,745.7180364037507,3626
CH,2025,41,721.5,792.8,761.4725430597771,1974
CH,2025,42,743.9,809.5,780.1830409356724,855
CH,2025,43,761.3,823.0,801.3281553398059,309
CH,2025,44,793.7,840.8,823.715873015873,63
CH,2025,45,856.4,856.4,856.4,17
