area,ano,acertos,nota_min,nota_max,nota_media
CH,2009,0,300.0,300.0,300.0
CH,2009,1,300.1,337.3,313.25
CH,2009,2,300.2,365.1,321.79
CH,2009,3,300.4,390.8,327.97
CH,2009,4,300.8,406.7,336.94
CH,2009,5,301.1,429.4,346.5
CH,2009,6,301.7,439.5,357.34
CH,2009,7,301.9,461.0,369.21
CH,2009,8,302.6,474.7,382.39
CH,2009,9,304.2,488.6,396.26
CH,2009,10,309.3,500.1,411.01
CH,2009,11,312.5,519.1,427.01
CH,2009,12,315.4,528.5,443.56
CH,2009,13,307.6,544.6,460.43
CH,2009,14,330.6,558.9,477.66
CH,2009,15,323.1,569.6,494.76
CH,2009,16,360.1,583.1,511.09
CH,2009,17,369.0,592.6,526.77
CH,2009,18,358.6,603.9,541.46
CH,2009,19,426.7,612.3,555.19
CH,2009,20,443.9,629.1,567.93
CH,2009,21,477.8,630.7,580.08
CH,2009,22,489.2,642.3,591.42
CH,2009,23,534.8,649.6,602.4
CH,2009,24,541.4,658.8,613.09
CH,2009,25,552.8,668.6,623.32
CH,2009,26,556.8,681.8,633.47
CH,2009,27,583.0,689.7,643.39
CH,2009,28,592.3,695.0,653.36
CH,2009,29,606.6,709.0,663.24
CH,2009,30,619.7,714.9,673.31
CH,2009,31,629.0,727.3,683.18
CH,2009,32,640.8,732.8,693.46
CH,2009,33,652.6,745.5,704.15
CH,2009,34,651.5,762.9,715.07
CH,2009,35,675.3,768.4,726.5
CH,2009,36,685.9,785.4,738.4
CH,2009,37,706.3,794.8,750.92
CH,2009,38,716.3,811.1,763.96
CH,2009,39,730.9,822.3,778.39
CH,2009,40,738.7,833.9,793.29
CH,2009,41,766.6,844.2,810.05
CH,2009,42,787.4,855.6,828.19
CH,2009,43,805.0,864.9,849.98
CH,2009,44,845.9,876.0,867.34
CH,2009,45,887.0,887.0,887.0
CN,2009,0,263.3,263.3,263.3
CN,2009,1,263.3,311.5,276.04
CN,2009,2,263.3,350.9,287.65
CN,2009,3,263.3,376.5,300.09
CN,2009,4,263.4,401.6,313.06
CN,2009,5,263.5,423.2,326.84
CN,2009,6,263.8,442.4,341.59
CN,2009,7,263.7,468.2,357.82
CN,2009,8,264.5,487.1,373.99
CN,2009,9,265.5,505.2,391.05
CN,2009,10,266.9,519.2,408.56
CN,2009,11,269.7,537.2,426.55
CN,2009,12,270.3,552.5,444.75
CN,2009,13,275.9,565.7,463.09
CN,2009,14,275.7,580.5,481.21
CN,2009,15,293.6,594.7,499.45
CN,2009,16,302.8,615.2,517.2
CN,2009,17,308.3,625.0,534.77
CN,2009,18,323.7,635.9,551.98
CN,2009,19,370.2,654.1,568.52
CN,2009,20,386.9,663.6,584.66
CN,2009,21,372.8,674.0,600.15
CN,2009,22,455.8,693.4,615.49
CN,2009,23,465.1,698.9,630.36
CN,2009,24,522.9,711.7,644.93
CN,2009,25,522.9,730.2,659.27
CN,2009,26,544.7,736.4,672.8
CN,2009,27,584.8,749.2,686.24
CN,2009,28,613.0,768.9,698.95
CN,2009,29,634.0,773.0,710.94
CN,2009,30,652.2,779.2,723.03
CN,2009,31,658.0,793.0,734.75
CN,2009,32,678.6,812.4,746.01
CN,2009,33,699.3,816.0,757.36
CN,2009,34,714.1,819.9,768.08
CN,2009,35,728.5,831.2,779.51
CN,2009,36,736.8,841.9,791.31
CN,2009,37,756.5,851.9,802.2
CN,2009,38,758.1,864.3,813.71
CN,2009,39,771.4,873.3,826.73
CN,2009,40,786.9,879.4,839.82
CN,2009,41,806.1,888.5,852.1
CN,2009,42,806.1,897.1,864.29
CN,2009,43,835.7,903.2,880.08
CN,2009,44,852.9,903.2,892.15
CN,2009,45,903.2,903.2,903.2
LC,2009,0,224.3,224.3,224.3
LC,2009,1,224.3,265.3,236.12
LC,2009,2,224.5,295.0,249.02
LC,2009,3,225.0,314.0,260.52
LC,2009,4,225.5,334.0,273.79
LC,2009,5,225.4,359.9,286.52
LC,2009,6,227.3,377.8,301.05
LC,2009,7,229.0,391.2,314.62
LC,2009,8,228.9,403.8,329.34
LC,2009,9,234.0,422.1,344.34
LC,2009,10,236.7,435.2,360.05
LC,2009,11,236.0,449.1,375.7
LC,2009,12,236.5,463.4,391.49
LC,2009,13,254.2,475.9,407.39
LC,2009,14,257.6,490.7,422.96
LC,2009,15,266.7,499.5,438.42
LC,2009,16,307.1,510.6,453.49
LC,2009,17,319.3,557.8,467.88
LC,2009,18,345.2,529.8,481.93
LC,2009,19,371.4,544.6,495.57
LC,2009,20,392.4,552.2,508.64
LC,2009,21,419.7,564.1,521.27
LC,2009,22,424.7,577.6,533.68
LC,2009,23,466.2,584.0,545.75
LC,2009,24,476.9,598.3,557.59
LC,2009,25,501.6,611.1,569.18
LC,2009,26,498.3,620.0,580.68
LC,2009,27,540.9,631.7,592.05
LC,2009,28,538.2,647.7,603.28
LC,2009,29,564.4,667.7,614.6
LC,2009,30,576.7,662.9,625.79
LC,2009,31,588.3,681.0,637.08
LC,2009,32,600.5,693.2,648.43
LC,2009,33,620.6,702.0,660.13
LC,2009,34,630.9,713.9,671.99
LC,2009,35,645.1,727.2,684.14
LC,2009,36,658.8,740.3,697.03
LC,2009,37,671.8,751.4,710.51
LC,2009,38,686.5,764.0,724.72
LC,2009,39,698.5,778.9,739.65
LC,2009,40,718.0,793.5,755.93
LC,2009,41,737.0,807.1,774.42
LC,2009,42,761.9,821.1,793.49
LC,2009,43,794.3,832.2,814.27
LC,2009,44,835.6,835.6,835.6
MT,2009,0,345.9,345.9,345.9
MT,2009,1,345.9,404.5,362.86
MT,2009,2,345.9,450.5,367.94
MT,2009,3,345.9,483.4,378.13
MT,2009,4,345.9,514.1,387.28
MT,2009,5,345.9,540.9,398.17
MT,2009,6,345.9,567.1,410.18
MT,2009,7,346.0,593.0,423.16
MT,2009,8,346.0,614.3,435.52
MT,2009,9,346.6,641.0,450.63
MT,2009,10,347.1,655.1,466.08
MT,2009,11,346.6,671.4,483.67
MT,2009,12,348.0,682.8,502.62
MT,2009,13,347.6,698.7,523.79
MT,2009,14,349.8,702.8,547.61
MT,2009,15,349.6,718.9,574.29
MT,2009,16,355.2,732.7,602.15
MT,2009,17,355.8,743.5,630.43
MT,2009,18,359.2,753.8,656.85
MT,2009,19,382.3,769.7,681.63
MT,2009,20,385.6,773.2,702.07
MT,2009,21,448.8,781.6,719.25
MT,2009,22,486.5,794.7,734.5
MT,2009,23,536.2,802.1,747.45
MT,2009,24,525.0,808.4,759.62
MT,2009,25,690.1,818.1,770.66
MT,2009,26,694.0,823.4,780.89
MT,2009,27,685.9,829.0,790.52
MT,2009,28,737.3,842.2,799.76
MT,2009,29,753.1,847.2,808.6
MT,2009,30,758.3,859.6,817.8
MT,2009,31,775.8,865.2,826.72
MT,2009,32,796.5,870.4,835.88
MT,2009,33,805.6,880.5,845.31
MT,2009,34,804.6,893.4,855.34
MT,2009,35,817.7,906.7,863.57
MT,2009,36,826.5,910.5,875.17
MT,2009,37,845.8,931.3,884.36
MT,2009,38,859.4,940.3,896.4
MT,2009,39,850.5,959.5,906.98
MT,2009,40,882.9,963.6,923.0
MT,2009,41,908.3,974.5,938.54
MT,2009,42,912.1,972.0,943.47
MT,2009,43,945.0,983.2,968.25
MT,2009,44,979.7,985.1,982.4
CH,2015,0,341.2,341.2,341.2
CH,2015,1,341.2,388.1,347.51
CH,2015,2,341.3,417.3,355.78
CH,2015,3,341.4,431.9,363.94
CH,2015,4,341.8,457.7,373.67
CH,2015,5,341.9,470.4,383.89
CH,2015,6,342.3,484.6,394.55
CH,2015,7,343.1,501.7,406.68
CH,2015,8,343.7,517.2,419.38
CH,2015,9,343.9,525.1,433.19
CH,2015,10,349.0,540.8,447.85
CH,2015,11,351.3,548.8,462.93
CH,2015,12,350.0,555.6,478.42
CH,2015,13,350.8,565.0,493.72
CH,2015,14,352.3,575.4,508.92
CH,2015,15,360.8,586.7,523.21
CH,2015,16,371.9,594.7,536.63
CH,2015,17,377.6,599.4,549.18
CH,2015,18,394.2,608.0,560.58
CH,2015,19,424.2,616.7,571.12
CH,2015,20,454.6,627.2,580.68
CH,2015,21,492.7,628.9,589.51
CH,2015,22,500.7,641.6,597.71
CH,2015,23,529.8,643.6,605.41
CH,2015,24,551.1,652.5,612.69
CH,2015,25,562.4,658.2,619.74
CH,2015,26,581.5,662.0,626.58
CH,2015,27,589.3,670.4,633.4
CH,2015,28,598.5,677.0,640.1
CH,2015,29,606.3,682.3,646.88
CH,2015,30,613.8,689.6,653.73
CH,2015,31,616.8,695.2,660.65
CH,2015,32,630.5,701.9,667.89
CH,2015,33,636.8,709.5,675.39
CH,2015,34,643.8,717.2,683.15
CH,2015,35,645.9,722.9,691.42
CH,2015,36,660.4,732.3,700.02
CH,2015,37,668.2,743.3,709.62
CH,2015,38,683.2,750.7,719.98
CH,2015,39,687.6,762.0,731.11
CH,2015,40,702.7,777.5,743.9
CH,2015,41,713.5,793.6,758.16
CH,2015,42,738.2,808.4,774.89
CH,2015,43,758.7,823.3,794.33
CH,2015,44,788.5,837.4,821.25
CH,2015,45,850.6,850.6,850.6
CN,2015,0,336.5,336.5,336.5
CN,2015,1,336.5,380.3,346.34
CN,2015,2,336.5,415.9,354.51
CN,2015,3,336.5,436.3,363.42
CN,2015,4,336.8,454.0,373.37
CN,2015,5,336.7,469.8,383.81
CN,2015,6,337.5,485.4,394.95
CN,2015,7,337.9,500.0,406.55
CN,2015,8,338.9,517.9,419.21
CN,2015,9,339.3,532.8,432.69
CN,2015,10,340.2,545.7,447.07
CN,2015,11,341.0,558.3,462.55
CN,2015,12,344.0,573.6,478.57
CN,2015,13,349.6,581.5,495.32
CN,2015,14,351.1,597.4,512.27
CN,2015,15,356.5,608.1,528.92
CN,2015,16,372.1,620.6,545.13
CN,2015,17,390.5,628.8,560.64
CN,2015,18,420.4,639.4,575.2
CN,2015,19,427.4,646.4,588.39
CN,2015,20,450.4,653.4,600.61
CN,2015,21,516.7,662.0,612.01
CN,2015,22,541.4,665.3,622.44
CN,2015,23,547.5,676.7,632.06
CN,2015,24,572.0,678.1,641.13
CN,2015,25,595.0,686.6,649.68
CN,2015,26,602.1,695.3,657.72
CN,2015,27,618.3,702.2,665.78
CN,2015,28,623.8,706.9,673.65
CN,2015,29,639.0,723.0,681.25
CN,2015,30,644.8,727.1,689.13
CN,2015,31,657.3,736.4,696.79
CN,2015,32,663.3,752.5,704.83
CN,2015,33,676.6,758.1,712.93
CN,2015,34,673.5,768.9,721.43
CN,2015,35,689.8,771.6,729.81
CN,2015,36,699.8,782.9,739.21
CN,2015,37,712.4,792.8,749.61
CN,2015,38,723.5,798.6,759.63
CN,2015,39,732.4,830.5,771.86
CN,2015,40,733.4,839.2,783.46
CN,2015,41,755.4,853.8,797.1
CN,2015,42,777.8,861.3,814.52
CN,2015,43,789.7,868.8,833.34
CN,2015,44,830.4,875.0,857.25
CN,2015,45,875.2,875.2,875.2
LC,2015,0,303.3,305.2,304.24
LC,2015,1,303.3,338.1,310.15
LC,2015,2,303.3,362.1,317.45
LC,2015,3,303.3,382.7,326.52
LC,2015,4,303.6,401.2,335.94
LC,2015,5,304.1,421.4,345.77
LC,2015,6,304.5,438.3,356.57
LC,2015,7,305.0,448.1,368.68
LC,2015,8,305.8,462.3,381.57
LC,2015,9,308.0,471.9,395.16
LC,2015,10,308.0,481.5,409.45
LC,2015,11,312.2,495.0,423.94
LC,2015,12,315.6,505.1,438.3
LC,2015,13,316.5,514.0,452.18
LC,2015,14,320.9,521.2,465.44
LC,2015,15,327.3,531.3,477.95
LC,2015,16,336.8,543.3,489.66
LC,2015,17,355.7,551.1,500.57
LC,2015,18,350.0,559.9,510.77
LC,2015,19,367.5,567.6,520.41
LC,2015,20,421.6,574.5,529.54
LC,2015,21,448.3,582.0,538.25
LC,2015,22,472.8,589.4,546.67
LC,2015,23,478.3,594.0,554.72
LC,2015,24,500.7,601.7,562.6
LC,2015,25,503.0,609.9,570.25
LC,2015,26,516.9,618.2,577.97
LC,2015,27,525.9,626.6,585.65
LC,2015,28,539.3,632.8,593.38
LC,2015,29,546.7,642.1,601.38
LC,2015,30,548.7,647.9,609.6
LC,2015,31,558.5,656.5,618.2
LC,2015,32,567.8,664.5,627.21
LC,2015,33,576.2,671.2,636.64
LC,2015,34,577.5,680.2,646.81
LC,2015,35,592.3,689.1,657.56
LC,2015,36,600.7,703.5,669.15
LC,2015,37,614.6,713.5,682.12
LC,2015,38,628.3,728.4,695.99
LC,2015,39,644.3,744.9,711.66
LC,2015,40,665.1,768.4,729.14
LC,2015,41,701.7,781.9,747.65
LC,2015,42,712.6,810.7,768.07
LC,2015,43,769.2,825.8,794.96
LC,2015,44,822.3,822.3,822.3
MT,2015,0,311.6,311.6,311.6
MT,2015,1,311.6,353.4,322.02
MT,2015,2,311.6,397.2,329.62
MT,2015,3,311.6,428.4,338.14
MT,2015,4,311.8,457.2,347.76
MT,2015,5,312.1,479.1,358.35
MT,2015,6,312.3,501.4,369.93
MT,2015,7,312.6,523.8,382.43
MT,2015,8,313.2,543.7,395.88
MT,2015,9,313.1,574.0,410.15
MT,2015,10,314.8,596.6,426.67
MT,2015,11,315.3,615.3,445.21
MT,2015,12,318.0,803.7,465.47
MT,2015,13,319.6,643.8,488.21
MT,2015,14,322.2,658.9,513.34
MT,2015,15,326.4,668.6,540.25
MT,2015,16,330.9,687.7,567.56
MT,2015,17,332.7,695.0,594.2
MT,2015,18,341.1,706.2,619.0
MT,2015,19,360.3,724.1,641.02
MT,2015,20,358.2,731.9,660.59
MT,2015,21,430.0,745.3,678.23
MT,2015,22,483.7,756.2,694.29
MT,2015,23,533.2,765.0,709.44
MT,2015,24,587.6,783.1,723.65
MT,2015,25,634.8,793.9,737.57
MT,2015,26,643.7,800.4,750.98
MT,2015,27,676.4,816.3,764.12
MT,2015,28,684.8,825.3,776.98
MT,2015,29,705.0,838.7,790.03
MT,2015,30,712.6,845.8,802.71
MT,2015,31,735.6,862.8,815.67
MT,2015,32,742.4,877.4,828.87
MT,2015,33,776.1,888.1,842.87
MT,2015,34,771.3,909.2,857.2
MT,2015,35,805.6,926.3,873.01
MT,2015,36,813.6,940.4,888.58
MT,2015,37,825.7,957.1,905.7
MT,2015,38,822.7,972.7,924.49
MT,2015,39,870.6,982.7,943.42
MT,2015,40,905.9,992.7,960.79
MT,2015,41,927.1,1000.7,977.25
MT,2015,42,960.3,1004.0,990.01
MT,2015,43,981.4,1006.2,998.39
MT,2015,44,996.3,1007.7,1004.14
MT,2015,45,1008.3,1008.3,1008.3
CH,2016,0,319.9,319.9,319.9
CH,2016,1,319.9,361.0,327.97
CH,2016,2,320.0,394.6,338.09
CH,2016,3,320.0,418.8,346.62
CH,2016,4,320.5,441.8,356.74
CH,2016,5,320.6,454.1,368.0
